"zap"	"trans"	"context"	"speaker"	"note"
"33"	"Cayuya a xjab xi gawa."	"I'm thinking about what to eat."	""	"FL"	NA
"34"	"A naa re'."	"I'm here."	""	"FL"	NA
"35"	"A Brook re'."	"Brook is there."	""	"FL"	NA
"36"	"Janet a zied re'."	"Janet is coming here."	"on her way"	"FL"	NA
"37"	"A ziedu re' e?"	"Are you coming here?"	"on your way"	"FL"	NA
"38"	"Zhi a ze Janet Bac."	"Tomorrow Janet will go to Tlac."	"definitely"	"FL"	NA
"39"	"Zhi a zoe:n Bac."	"We will go to Tlac. tomorrow"	"def"	"FL"	NA
"40"	"Zhi a zyope:n re'."	"We will come here tomorrow."	"def"	"FL"	NA
"41"	"Mnalaz Arjun betse:ng a ziedgan lae:ng."	"Arjun remembered his brother is coming to visit him (on his way)"	"Us with Arjun in Amherst"	"FL"	NA
"42"	"Rzilaz Arjun betse:ng a ziedgan lae:ng."	"Arjun believes that his brother is coming to visit him (on his way)"	"Us with Arjun  "	"FL"	NA
"43"	"Rlo Arjun betse:ng a ziedgan lae:ng."	"Arjun thinks his brother is on the way."	"Us with Arjun  "	"FL"	NA
"44"	"Ae:ng ze ladi per daru gyie:ng."	"He already went to the states but he's coming back."	""	"FL"	NA
"45"	"Ae:ng zesi guetxtily."	"He is going to buy bread."	""	"FL"	NA
"46"	"Ae:ng zesi."	"She went to buy something."	""	"FL"	NA
"47"	"Ae:ng zedyen."	"She went to buy something."	""	"FL"	NA
"48"	"Chi bzena ricy a ze bzana."	"When I arrived there my brother had already left."	""	"RL"	NA
"49"	"Chi bzena ricy a zee:ng."	"When I arrived there he had already left."	""	"RL"	NA
"50"	"Chi bzenya rdo a zee:ng."	"When I came to the church, he had already left."	""	"RL"	NA
"51"	"Chi bzenyeng naa a zaa."	"When my brother arrived I had already gone."	""	"RL"	NA
"52"	"Chi bzenyeng naa a zia."	"When my brother arrived I had already gone home."	""	"RL"	NA
"53"	"Chi ? nisgyia ana deib? a bzenya lo gex."	"When the rain stopped I had already arrived in San Lucas (the pueblo)."	""	"RL"	NA
"54"	"Lieb bied lo gyia, chi nu a ricy."	"When I was at the market, Felipe came there."	""	"RL"	NA
"55"	"A bied Bac bizana lo gex, per ady zenya chicy."	"My brother came here, but I hadn't arrived yet."	"Listener in Oaxaca, speaker in Tlac."	"RL"	NA
"56"	"Chiby a de bzenya aldi nua chicy. "	"My brother came her when I was in the US."	"Listener in Oaxaca, speaker in Tlac."	"RL"	NA
"57"	"Logyia biedcan a bziana naa."	"My brother came to see me at the market."	""	"RL"	NA
"58"	"A bizana gwenia Ldua."	"My brother came/went with me to Oaxaca"	"I'm not in Oaxaca. "	"RL"	NA
"59"	"A bizana biednia Ldua."	"My brother came/went with me to Oaxaca"	"I'm in Oaxaca."	"RL"	NA
"60"	"*A bizana biednia Ldua."	"My brother came/went with me to Oaxaca"	"I'm not in Oaxaca. "	"RL"	NA
"61"	"Cheib zen nisgyia a ze Lieb Bac."	"When the rain arrived, Felipe had already left for Tlac."	""	"RL"	NA
"62"	"Cheib zen nisgyia a ze:ng Bac."	"When the rain arrived, he had already left for Tlac."	""	"RL"	NA
"63"	"A zia."	"I'm on my way home."	""	"RL"	NA
"64"	"Zhi a zia liaza."	"I'm going home tomorrow."	""	"RL"	NA
"65"	"Zhi a ziana lo gex giedgwaa lo. "	"I'm coming to see you tomorrow."	"Speaker in Tlac, listener in SL."	"RL"	NA
"66"	"Mes naa a zia Bed."	"The teacher thinks that Pedro has left."	""	"RL"	NA
"67"	"A nax a bzeny."	"?"	""	"RL"	NA
"68"	"Guc a bzenyu?"	"?"	""	"RL"	NA
"69"	"Zhi a zaa."	"I will leave tomorrow."	""	"RL"	NA
"70"	"Gwana zhi a zaa."	"I will leave tomorrow."	"non-def"	"RL"	NA
"71"	"Salon cuan primer es chicygwen mercw, primer chicygwen primer chicy a bzenyza Ldua"	"The first day... Felipe arrived in Oaxaca."	""	"FLN"	NA
"72"	"A lun xop chicgwen byoyeneng rany in scwel CETIS 124."	"On Monday went to CETIS."	""	"FLN"	NA
"73"	"A byon ze andre rcaz xon rsil chedu bzenye:ng n Bac zicy yegaga?"	"Something about arriving in Tlacolula."	""	"FLN"	NA
"74"	"A bicy in Ldua rcateiby rcatyop."	"Return to Oaxaca?"	""	"FLN"	NA
"75"	"Merc a schon chicygwen chicy ratemta zhi byon tula byon Bac chiru ? teiby."	"Wednesday"	""	"FLN"	NA
"76"	"Gasor telamaen a ric byon ratan ? ratane:ng ra estudiante Brook."	""	""	"FLN"	NA
"77"	"Caty rsil, ric a byen Yagul byon tebrate chiru byopen Ldua bicyene."	"Went to Yagul before returning to Oaxaca"	""	"FLN"	NA
"78"	"Zhi ya a ze estudian xten Brook tula xquia per na queity a chaa."	"Tomorrow the students and Brook are but I'm not going"	""	"FLN"	NA
"79"	"A dano ziyopen nisyu."	"We're on the road."	"nisyu = camino"	"AM"	NA
"80"	"Gwaa Bac a nai."	"I went to Tlacolula yesterday."	""	"AM"	NA
"81"	"Lia Glo cuan Bed gwe Bac a nai."	"Gloria and Pedro went to Tlacolula yesterday."	""	"AM"	NA
"82"	"xtadmama a bzen estados unidos."	"My grandfather arrived in the US."	""	"AM"	NA
"83"	"A bzenya  "	"I arrived."	""	"AM"	NA
"84"	"Byala de US a nai."	"I came from the US yesterday."	""	"AM"	NA
"85"	"Zhi a zoe:n."	"We'll leave tomorrow."	""	"FL"	NA
"86"	"Chi zoe:n cafe, a bria cafe."	"When we were on our way, Nick had already left."	"Both a's necessary"	"FL"	NA
"87"	"A Brook ze Bac aisy wxiny gyicye:ng."	"Brook went to Tlacolula this morning and is coming back tonight."	"Could be on her way or already arrived."	"FL"	NA
"88"	"Ae:ng a zecudyag musc."	"He's on his way to hear music."	""	"FL"	NA
"89"	"Ae:ng ze Bac aisy a bicye:ng"	"She went to Tlac., she'll be back later."	""	"FL"	NA
"90"	"Brook gwe Bac ae:ng a bicy."	"Brook went to Tlac and/but she's back."	"worse"	"FL"	NA
"91"	"Gwe Brook Bac (per) ae:ng a bicy."	"Brook went to Tlac and/but she's back."	"better"	"FL"	NA
"92"	"Rrilo mes a Bed a ze."	"The teacher thinks that Pedro has left."	""	"FL"	NA
"93"	"Rrilo mes a Bed a bria."	"The teacher thinks that Pedro has left."	"(a defined space)"	"FL"	NA
"94"	"A Bed a bria scwel."	"Pedro has dropped out."	""	"FL"	NA
"95"	"Chi bzenye:n cafe, a Nick a ze."	"When we came to the cafe, Nick had already left."	"Both a's necessary"	"FL"	NA
"96"	"Chi zoe:n cafe, a Nick a ze."	"When we were on our way, Nick had already left."	"Both a's necessary"	"FL"	NA
"97"	"Chi bze:nya ricy a bziana a ze."	"When I arrived there my brother had already left."	""	"FL"	NA
"98"	"A Brook ze Bac aisy wxiny a bicye:ng."	"Brook went to Tlacolula this morning, but she'll be back tonight."	"Point of sentence is that she's coming back."	"FL"	NA
"99"	"A naa a zaa Bac per ngaisy a bicya."	"I'm on my way to Tlac but I'll be back."	""	"FL"	NA
"100"	"A danoe:n re' chileu a Brook ree."	"We are here but Brook is there."	""	"FL"	NA
"101"	"Mnalaz Arjun a betse:ng a ziegan lae:ng."	"Arjun remembered his brother is coming to visit him (on his way)"	"Us not with Arjun"	"FL"	NA
"102"	"Rilo Arjun a betse:ng a zegan lae:ng."	"Arjun thinks his brother is on the way."	"Us not with Arjun"	"FL"	NA
"103"	"Chiby bzenya liaza a Lieb a nu ricy."	"When I arrived at my house, Felipe was already there."	""	"RL"	NA
"104"	"Chiby bzenya liaza ae:ng a nu ricy."	"When I arrived at my house, he was already there."	""	"RL"	NA
"105"	"A zaa chaa Bac chiru a ziala."	"I'm going to Tlac and then I'll be back."	""	"RL"	NA
"106"	"A zaa Bac cheib a bles nisgyia."	"I had left for Tlac. when the rain stopped. "	""	"RL"	NA
"107"	"byoe:n naxgia a zic a bria? byoganeng a teiby rrady stacion a rrady tula ni lash seshgia uas ric ga brian byoe:n Tule"	"Going to the radio station and then Tule"	""	"FLN"	NA
"108"	"Ricy byoduawen a teiby restauran per ni restauran a chiru teiby restauran."	"Went and ate at restaurant in Tule"	""	"FLN"	NA
"109"	"Ae:ng a cazen re'."	"She is arriving here."	""	"AM"	NA
"110"	"Ladi zee:ng."	"He went to the States."	""	"FL"	NA
"111"	"Zee:ng ladi per daru gyie:ng."	"He's on his way to the states but he's coming back."	"Feels that he's not yet arrived."	"FL"	NA
"112"	"Zee:ng ladi e?"	"Did he go to the states?"	"Could be either on the way or in the States. A yes would just mean that he left."	"FL"	NA
"113"	"Rata zhi ricy Jwany ricy."	"Juan returns there everyday."	""	"FL"	NA
"114"	"Jwany ricy ricy rata zhi."	"Juan returns there everyday."	""	"FL"	NA
"115"	"*Rata zhi ricy ricy Jwany."	"Juan returns there everyday."	""	"FL"	NA
"116"	"Bicye:ng Ndua."	"We returned to Oaxaca."	""	"FL"	NA
"117"	"Lo july gicya Ndua."	"I will return to Oaxaca in July."	""	"FL"	NA
"118"	"Lo july gicynia Brook Ndua."	"I will return to Oaxaca with Brook in July."	""	"FL"	NA
"119"	"Brook gicynia Ldua lo july."	"I will return to Oaxaca with Brook in July."	""	"FL"	NA
"120"	"Gicynia Brook Ldua lo july."	"I will return to Oaxaca with Brook in July."	""	"FL"	NA
"121"	"*Ne Brook gicya Ldua lo july."	"I will return to Oaxaca with Brook in July."	""	"FL"	NA
"122"	"Ne Brook gicynia Ldua lo july."	"I will return to Oaxaca with Brook in July."	""	"FL"	NA
"123"	"Ne Brook gicy Ldua lo july."	"I will return to Oaxaca with Brook in July."	""	"FL"	NA
"124"	"Na par byicye:ng Ndua."	"We had to return to Oaxaca."	""	"FL"	NA
"125"	"Xini bicyu?"	"Why did you return?"	""	"FL"	NA
"126"	"rzeny"	"arrive"	""	"FL"	NA
"127"	"cazenye:ng"	"He's arriving right now."	""	"FL"	NA
"128"	"Bzenye:ng mer chicy."	"He arrived right then."	""	"FL"	NA
"129"	"Bzenye:ng chicybag."	"He arrived right then."	""	"FL"	NA
"130"	"Chicybag bzenye:ng."	"He arrived right then."	""	"FL"	NA
"131"	"Briaa Ldua."	"I left Oaxaca."	""	"FL"	NA
"132"	"Bduxman bzenya."	"I arrived a week ago."	""	"FL"	NA
"133"	"Bzenya bduxman."	"I arrived a week ago."	""	"FL"	NA
"134"	"Zhi yzenye:ng ricy."	"He will arrive there tomorrow."	""	"FL"	NA
"135"	"Primer xchi july briaa ladi."	"I left the US on July 1st."	""	"FL"	NA
"136"	"Rata rsily rityug Lia Petr gyia."	"Every morning Petra goes to cut flowers."	""	"FL"	NA
"137"	"Brook zesi guetxtily."	"Brook went to buy bread."	"In answer to someone looking for the person."	"FL"	NA
"138"	"Zesie:ng guetxtily."	"She was going to buy bread."	""	"FL"	NA
"139"	"Nai mna lo Janet. Zee:ng zecudyage:ng musc."	"Yesterday I saw Janet. She was on her way to listen to music."	""	"FL"	NA
"140"	"Zaa scwel chi mna loe:ng."	"I was on my way to school when I saw her."	""	"FL"	NA
"141"	"Brook zesi lady Bac chi bzhiny xcoche:ng."	"Brook was buying clothes in Tlac but her car 'got scratched' (broke down)."	""	"FL"	NA
"142"	"Mnitya chi zegana Janet."	"I got lost on my way to Janet."	""	"FL"	NA
"143"	"Zesire:ng chi bzeny nsia."	"They were going to the market when the rain arrived."	""	"FL"	NA
"144"	"Zoe:n chi cwebe:n nys chi bzeny nysgyia."	"We were on our way to mount the water (bath/swim) when the rain arrived."	""	"FL"	NA
"145"	"Zoe:n chigyie:n."	"We will surely go and dance."	""	"FL"	NA
"146"	"Zegyae:ng."	"She will definitely go and dance."	""	"FL"	NA
"147"	"Rata zhi ricwuae:n gyi rrady."	"Every day we go and turn on the radio."	""	"FL"	NA
"148"	"Rata rsily rinya ni yquiny xnana."	"Every day I go and bring my mom breakfast."	""	"FL"	NA
"149"	"Rata zhi rinya rsily yquiny xnana."	"Every day I go and bring my mom breakfast."	""	"FL"	NA
"150"	"Ndua ze Brook."	"Brook went to Oaxaca."	"could be on her way, could be in Oaxaca, could be on her way back"	"FL"	NA
"151"	"Ndua gwe Brook."	"Brook went to Oaxaca and back."	""	"FL"	NA
"152"	"Ndua zen dez Brook."	"Brook left to move to Oaxaca."	""	"FL"	NA
"153"	"Ndua ze Brook chibxi' xucarni."	"Brook was on her way to Oaxaca when her car broke down."	""	"FL"	NA
"154"	"Lo gyia ze Brook chi una loni."	"Brook was on her way to the market when I saw her."	""	"FL"	NA
"155"	"Gal ria ze Brook chi na loni."	"Brook was going to a dance when I saw her."	""	"FL"	NA
"156"	"Brook caya."	"Brook is dancing."	""	"FL"	NA
"157"	"Caya Brook."	"Brook is dancing."	""	"FL"	NA
"158"	"Brook zeya chi mna loni."	"Brook was going dancing when I saw her."	""	"FL"	NA
"159"	"Ze yo zacu e?"	"Are you also going dancing?"	""	"FL"	NA
"160"	"Gal ria za chu e?"	"Are you going to the dance too?"	""	"FL"	NA
"161"	"Brook rcaz che Ldua."	"Brook wants to go to Oaxaca."	""	"FL"	NA
"162"	"Brook rcaz gued zunni."	"Brook wants to come to Tlacochuaya."	""	"FL"	NA
"163"	"Rcaza Brook gued zunni."	"I want Brook to come to Tlacochuhuaya."	""	"FL"	NA
"164"	"Ndua chaa zhi."	"I'm going to Oaxaca tomorrow."	""	"FL"	NA
"165"	"Ndua chaa zhi chi na liu."	"I'm going to Oaxaca tomorrow to see you."	""	"FL"	NA
"166"	"Zunni giedu gednu nare e?"	"You're coming to Tlacochuhuaya to see me?"	""	"FL"	NA
"167"	"Rcaza gied Brook zunni te getna nare'."	"I want Brook to come to Tlacochuhuaya to see me."	""	"FL"	NA
"168"	"Queity gwadya liazu."	"I didn't come to your house."	"not at the house"	"FL"	NA
"169"	"Queity niadya liazu."	"I didn't come to your house."	"not at the house"	"FL"	NA
"170"	"Queity bialdya liazu."	"I didn't come to your house (we're now at the house)."	""	"FL"	NA
"171"	"Zebugu Ldua e?"	"You're really going to Oaxaca?"	"Felipe in LA, Carolyn in Amherst."	"FL"	NA
"172"	"Zobege:n Ldua e?"	"We're really going to Oaxaca?"	"Felipe in LA, Carolyn in Amherst."	"FL"	NA
"173"	"Ziedu Ldua e?"	"Will you come to Oaxaca?"	"If I'm about to go and I ask Felipe if he's coming"	"FL"	NA
"174"	"To choe:n Ldua!"	"Let's go to Oaxaca!"	"neither in Oaxaca"	"FL"	NA
"175"	"Chi nua cafe, bied Brook ricy."	"When I was at the cafe, Brook came there."	""	"FL"	NA
"176"	"Chi nua cafe, bzen Brook ricy."	"When I was at the cafe, Brook came there."	""	"FL"	NA
"177"	"Nai gugan Brook Janet liazni."	"Yesterday Brook visited Janet at her house."	"Janet's"	"FL"	NA
"178"	"Chi nu Janet bibliotec, bzen Brook."	"When Janet was at the library, Brook went there."	""	"FL"	NA
"179"	"Chi nu Janet bibliotec, gwe Brook."	"When Janet was at the library, Brook went there."	""	"FL"	NA
"180"	"Nai chi nua logyia, biedzi Brook teiby tapet."	"Yesterday when I was at the market, Brook came to buy a rug."	""	"FL"	NA
"181"	"Zhi chigana Janet Bibliotec."	"Tomorrow I'm going to see Janet at the library."	""	"FL"	NA
"182"	"Gugan May Jaime Bac nai."	"May came to see Jaime in Tlac. yesterday."	""	"FL"	NA
"183"	"Biedgan May naa Bac nai."	"May came to see me in Tlac. yesterday."	""	"FL"	NA
"184"	"Rzilaz May Los Angeli gugan Janet lae:ng per San Franciscwi."	"May thinks Janet visited her in Los Angeli, but it was really SF."	""	"FL"	NA
"185"	"Rzilaza Los Angeli biedgan Janet naa per San Franciscwi."	"I thought Janet visited me in LA but it was really SF."	""	"FL"	NA
"186"	"Felipe: Rcaza giedu Ldua."	"I want you to come to Oaxaca."	"Felipe in Oaxaca, Carolyn in LA"	"FL"	NA
"187"	"Carolyn: Rcaza giedu LA."	"I want you to come to LA."	"Felipe in Oaxaca, Carolyn in LA"	"FL"	NA
"188"	"Felipe: Rcaza gyiela LA."	"I want to come to LA."	"Felipe in Oaxaca, Carolyn in LA"	"FL"	NA
"189"	"Felipe: Rcaza chaa SF."	"I want to go to SF."	"Felipe in Oaxaca, Carolyn in LA"	"FL"	NA
"190"	"Rcaza gyiedgana liu."	"I want to come to visit you."	""	"FL"	NA
"191"	"Rcaza chigana lae:ng."	"I want to visit him."	"Nick in Seattle, not in conversation."	"FL"	NA
"192"	"Carolyn: Rcaz Brook chigana lae:ng Los Angeli zhi."	"Brook wants me to come visit her in LA tomorrow."	"Brook in LA, Felipe and Carolyn in Oaxaca."	"FL"	NA
"193"	"Carolyn: Rcaza gied Brook Ldua zhi."	"I want Brook to come to Oaxaca tomorrow."	"Brook in LA, Felipe and Carolyn in Oaxaca."	"FL"	NA
"194"	"Carolyn: Rcaza chaa LA chigana Brook zhi."	"I want to go to LA to see Brook tomorrow."	"Brook in LA, Felipe and Carolyn in Oaxaca."	"FL"	NA
"195"	"Carolyn: Rcaz Brook giedgan naa zhi."	"Brook wants to come visit me tomorrow."	"Brook in LA, Felipe and Carolyn in Oaxaca."	"FL"	NA
"196"	"Carolyn: Rilo Arjun betse:ng Jishnu ziganlae:ng Amherst."	"Arjun thinks his brother Jishnu is coming to see him in Amherst."	"Map 0: Arjun in Amherst, Jishnu in India."	"FL"	NA
"197"	"Carolyn: Bets Arjun chigan lae:ng "	"Arjun's brother is coming to see him."	"Map 0: Arjun in Amherst, Jishnu in India."	"FL"	NA
"198"	"Carolyn: Nuchi naa Arjun betse:ng chiganlae:ng."	"Last night Arjun said that his brother is coming to visit him (in the future)."	"Map 0: Arjun in Amherst, Jishnu in India."	"FL"	NA
"199"	"Carolyn: Nuchi naa Arjun betse:ng zeganlae:ng."	"Last night Arjun said that his brother is coming to visit him (in the future, definite)."	"Map 0: Arjun in Amherst, Jishnu in India."	"FL"	NA
"200"	"Carolyn: Rcaz Arjun chigan betse:ng lae:ng."	"Arjun wants his brother to come see him."	"Map 0: Arjun in Amherst, Jishnu in India."	"FL"	NA
"201"	"Rsoo choe:n Bac e?"	"Are you going to come to Tlac?"	""	"FL"	NA
"202"	"Bac chieu e?"	"Are you going to Tlac?"	""	"FL"	NA
"203"	"Buny ladi naa."	"I'm from the States."	""	"FL"	NA
"204"	"Ladi ziala."	"I'm coming from the States."	"not necessarily from the States (not homebase)"	"FL"	NA
"205"	"Cali zoo?"	"Where did you come from?"	""	"FL"	NA
"206"	"Ladi ziala."	"I came from the states."	""	"FL"	NA
"207"	"Ladi zaa."	"I came from the states."	""	"FL"	NA
"208"	"Nai bzeinya zaa ladi."	"I came from the States yesterday."	""	"FL"	NA
"209"	"Ladi chaa zhi."	"I'm going to the US tomorrow."	""	"FL"	NA
"210"	"Zhi gicya ladi."	"Tomorrow I'm returning to the States."	""	"FL"	NA
"211"	"Riope:n re'."	"We come here every day."	""	"FL"	NA
"212"	"Biedgenya zeiny re' tempran."	"I came to work early here today."	""	"FL"	NA
"213"	"Gugenya zeiny tempran."	"I went to work early."	""	"FL"	NA
"214"	"Biedu liaza tempran."	"You came to my house early."	""	"FL"	NA
"215"	"Queity bieldya liazu."	"I didn't come to your house."	""	"FL"	NA
"216"	"Caria liaza."	"I wasn't at home."	""	"FL"	NA
"217"	"Queity guwadya liaza."	"I wasn't at home."	""	"FL"	NA
"218"	"Biedu liaza ba rsily per queitdya chicy."	"You came to my home but I wasn't there."	""	"FL"	NA
"219"	"Queity nyeddyi betsa Ldua."	"My brother didn't come to Oaxaca."	""	"FL"	NA
"220"	"Queity nyed nyedyia betsa Ldua."	"I didn't bring my brother."	""	"FL"	NA
"221"	"Biednia betsa Ldua."	"My brother came with me to Oaxaca."	"I'm in Oaxaca."	"FL"	NA
"222"	"Gunia betsa Ldua."	"I took my brother to Oaxaca (if I'm in Oaxaca)."	""	"FL"	NA
"223"	"Ne betsa bunya Ldua."	"My brother went to Oaxaca with me."	"if I'm in Tlac."	"FL"	NA
"224"	"Ne betsa biednia Ldua."	"I came with my brother to Oaxaca."	"if I'm in Oaxaca, bro is not with me."	"FL"	NA
"225"	"*Biednia ne betsa Ldua."	"I came with my brother to Oaxaca."	""	"FL"	NA
"226"	"Biedne Juany betsni Ldua."	"Juan brought his brother to Oaxaca."	""	"FL"	NA
"227"	"Gune Juany betsni Ldua."	"Juan brought his brother to Oaxaca."	"I'm not in Oaxaca."	"FL"	NA
"228"	"Zene Juany betsni Ldua."	"Juan brought his brother to Oaxaca."	"Juan and brother in Oaxaca, probably still there, we're in Tlacolula. "	"FL"	NA
"229"	"Gune Juany betsni Ldua."	"Juan brought his brother to Oaxaca."	"Juan and brother in Oaxaca, probably have returned home, we're in Tlacolula."	"FL"	NA
"230"	"Teegwag adya chaa Bac."	"I've never been there."	""	"FL"	NA
"231"	"Teegwag adya gyala re'."	"No, I have never been here before."	""	"FL"	NA
"232"	"Guxman nia byala re'."	"Last week I walked here."	""	"FL"	NA
"233"	"Guxman nia bdeidya re'."	"Last week I walked by here."	""	"FL"	NA
"234"	"Chi mnaa lo yu re' yu dats nae:ng."	"When I saw this building it was empty."	""	"FL"	NA
"235"	"Caria tu chu re' chicy."	"No one was here then."	""	"FL"	NA
"236"	"Styop schon zhi chaa Ldua."	"In a few days, I will go to Oaxaca."	""	"FL"	NA
"237"	"Nugu' re' styop schon zhi e?"	"Will you still be here in a few days?"	""	"FL"	NA
"238"	"Nuu re' zhi e?"	"Will you be here tomorrow?"	""	"FL"	NA
"239"	"Bied bziana re'."	"My brother came here (I'm in Oaxaca)."	""	"FL"	NA
"240"	"Gwe bziana Ldua."	"My brother went to Oaxaca."	"I'm not in Oaxaca."	"FL"	NA
"241"	"Bzu gai laty rtore:ng cafe tyob or."	"I sat in a cafe for two hours."	""	"FL"	NA
"242"	"Rnalaz Jwany mes."	"Juan remembers the teacher."	""	"FL"	NA
"243"	"Rnalaz Jwany biab niesgyia."	"Juan remembers that it rained."	""	"FL"	NA
"244"	"Na Brook ryulaza becw."	"Brook says, \"I like dogs.\""	"happens in narratives"	"FL"	NA
"245"	"Na Brook ryulaze:ng becw."	"Brook says she likes dogs."	""	"FL"	NA
"246"	"Na Brook ryulaz Brook becw."	"Brook says she likes dogs."	""	"FL"	NA
"247"	"*Na Brook ryulazni becw."	"Brook says she likes dogs."	""	"FL"	NA
"248"	"Na Brook ryulaza becw, na Brook."	"Brook says she likes dogs."	"not Felipe's style but possible"	"FL"	NA
"249"	"Mnalaza xii na Brook nai."	"I remember what Brook said yesterday."	""	"FL"	NA
"250"	"Mnalaza xii na Brook naa nai."	"I remember what Brook said to me yesterday."	""	"FL"	NA
"251"	"Mnalaza xii mni Brook naa nai."	"I remember what Brook told me yesterday."	""	"FL"	NA
"252"	"Mnalaza xii mnudizh Brook naa nai."	"I remember, what Brook asked me yesterday."	""	"FL"	NA
"253"	"Nae:ng xi gau."	"She said \"what are you going to eat?\""	""	"FL"	NA
"254"	"Mnudizhe:ng xi gau."	"She asked me \"what are you going to eat?\""	""	"FL"	NA
"255"	"Xi gau nae:ng."	"\"What are you going to eat?\" she said."	""	"FL"	NA
"256"	"Brook na xi gaua."	"Brook asked what am I/is she going to eat."	""	"FL"	NA
"257"	"Xi gaua na Brook."	"Brook asked what am I/is she going to eat."	""	"FL"	NA
"258"	"Zhi chaa Bac per guicytaga."	"Tomorrow I'm going to Tlac but I'll be back (not def)."	""	"FL"	NA
"259"	"Chaa ladi chiru gicya cha beu."	"I'm going to the States but I'll be back at the end of the month."	""	"FL"	NA
"260"	"Byue:n lanynyu. "	"We went into a building (stomach of the house)."	""	"FL"	NA
"261"	"Byutye:n lanynyu."	"We entered a building."	""	"FL"	NA
"262"	"Ria buny scwel rata zhi."	"One goes to school everyday."	""	"FL"	NA
"263"	"Juany ria scwel rata zhi."	"Juan goes to school everyday."	""	"FL"	NA
"264"	"Rata zhi Juany ria scwel."	"Juan goes to school everyday."	""	"FL"	NA
"265"	"Riaa logyia rata zhi."	"I go to the market every day."	""	"FL"	NA
"266"	"Chiu Bac rata zhi."	"You'll go to Tlac."	""	"FL"	NA
"267"	"Zeu Bac."	"You will definitely go to Tlac."	""	"FL"	NA
