"Zap"	"Gloss"	"Trans"	"Lang"
"37"	"Jesu's n-aga'ah-yeisy=ni'."	"Jesus NEU-lie-sleep=3REV"	"'Jesus is sleeping'"	"TMZ"
"38"	"R-nààab=a' mila'gr loh=iny. , but the plural forms of the pronoun"	"seem to contradict that hypothesis: the plural free pronoun is làa'dani"	"' (22a) and the plural clitic reverential form is =dani'"	"TMZ"
"39"	"làa'=da=ni'"	"BASE=PL=3REV"	"'they; them (rev.)'"	"TMZ"
"40"	"Derrpe'nnt b-ri'cah to'ohby a'anngjl quëhnn stàal a'nngjl=e'eh suddenly PERF-appear one angel with many angel=DIM zhaybààa', cay-ùa'all=da=ni' pahr Dyooz heaven PROG-sing=PL=3REV for God 'Suddenly an angel appeared, with many little angels from heaven, singing for God' Unlike most"	"of the pronouns, the plural form of the pronoun does not transparently consist of the plural marker da and the singular clitic. If that were the case, we would expect the plural reverential form to be làa"	"'dany with clitic form =dany. I don'"	"TMZ"
"41"	"làa'iny"	""	"'he, she, it; him, her, (rev.)'"	"SLQZ"
"42"	"làa'ni'"	""	"'he, she, it; him, her (rev.)'"	"SLQZ"
"44"	"Làa'=b n-aga'ah-yeihsy=ba."	"BASE=3RESP NEU-lie-sleep=3RESP"	"'He (resp.) is sleeping'"	"TMZ"
"45"	"làa'=da=b ' The respectful pronouns are"	"frequently used to translate an unspecified"	"'he'"	"TMZ"
"46"	"Mariia b-lu'chììa' raa=te' da dìi'zh=qui Maria PERF-save"	"all=INTSV PL word=this làa'any làa'stòo'=b in heart=3RESP"	"'Maria saved all of these words in her heart'"	"TMZ"
"47"	"Dehts mu'syc a nàall mardo'mm behind band already NEU.hang mayordomo cohnn raa=te' x:-piu'uz=ni'ih… Làa'any"	"with all=INTSV POSS-guest=3ANAP in ydòòo' che-sàa'an=da=b binnih co'innch church IRR.go- leave= PL=3RESP candle shell"	"'Behind the band the mayordomo follows with all his guests… They will go and leave the shell candles in the church.'"	"TMZ"
"48"	"Làa'=by n-aga'ah-yeisy=bi."	"BASE=3FAM NEU-lie-sleep=3FAM"	"'He (fam.) is sleeping'"	"TMZ"
"49"	"làa'=da=by"	""	"' The third person familiar pronoun is used very frequently by my main consultant. He often translates it as \"con cariño [with affection]\" and usually uses it to refer to people that we both know, even if we aren'"	"TMZ"
"50"	"Làa'=mm n-aga'ah-yeisy=mma."	"BASE=3AN NEU-lie-sleep=3AN"	"'It (an.) is sleeping'"	"TMZ"
"52"	"Làa'=ni'ih n-aga'ah-yeisy=ni'ih."	"BASE=3PROX NEU-lie-sleep=3PROX"	"'He is sleeping'"	"TMZ"
"53"	"Làa'=da=ni'ih n-aga'ah-yeisy=da=ni'ih. and"	"plural form làa'dana"	"'ah (29b) with clitic form =dana'"	"TMZ"
"54"	"Làa'=na'ah n-aga'ah-yeisy=na'ah."	"BASE=3DIST NEU-lie-sleep=3DIST"	"'He is sleeping'"	"TMZ"
"55"	"Làa'=da=na'ah n-aga'ah-yeisy=da=na'ah. . Also, as"	"mentioned above, the proximate la"	"'anng (Munro and Lopez, et al. 1999:146) and distal la'"	"TMZ"
"58"	"S V O [V S O] Li'eb gw-u'uhts7 làa' Beed"	"b-tòo'oh Wsee x:-camiony=nìi'. Felipe PERF-tell LÀA' Peter PERF-sell Jose POSS-car=3ANAP"	"'Felipe told Peter that Jose sold his car'"	"TMZ"
"62"	"Beed b-chìi'by narèe'."	"Pedro PERF-scare 1SG.FP"	"'Pedro scared me'"	"TMZ"
"63"	"B-chìi'by Beed narèe'."	"PERF-scare Pedro 1SG.FP"	"'Pedro scared me'"	"TMZ"
"64"	"B-chìi'by=a' Beed."	"PERF-scare=1SG Peter"	"'I scared Peter'"	"TMZ"
"65"	"Làa' Beed b-chìi'by=a'."	"LÀA' Peter PERF-scare=1SG"	"'I scared Peter'"	"TMZ"
"66"	"Làa'by n-u'uh gahx:=gah yu'uh"	"3FAM.FP NEU-be near=very house"	"'He is very near the house'"	"TMZ"
"67"	"Làa'by n-u'uh=by gahx:=gah yu'uh"	"3FAM.FP NEU-be=3FAM near=very house"	"'He is very near the house'"	"TMZ"
"68"	"N-u'uh=by gahx:=gah yu'uh"	"NEU-be=3FAM near=very house"	"'He is very near the house'"	"TMZ"
"69"	"Beed b-chìi'by=a' làa'by."	"Pedro PERF-scare=1SG 3FAM.FP"	"'Pedro, I scared him'"	"TMZ"
"70"	"Jwaany b-guhty bèe'll cuhnn mazheety."	"John PERF-kill snake with machete"	"'John killed the snake with the machete'"	"TMZ"
"71"	"Li'ebr rèe' nàa li'ebr x:tèe'n Jwaany. book this"	"COP book of John 'This book is John"	"'s book'"	"TMZ"
"72"	"Bèe'ecw zuu ni'ih me'es."	"dog NEU.stand under table"	"'The dog is standing under the table'"	"TMZ"
"73"	"Ni'ih me'es gwùu'ch."	"foot table PERF.break"	"'The leg of the table broke'"	"TMZ"
"76"	"B-tàa'az=a' lààa' Gye'eihlly."	"PERF-hit=1SG FOC Mike"	"'It was Mike that I hit'"	"SLQZ"
"77"	"Lààa' Gye'eihlly b-tàa'az=a'. FOC Mike PERF-hit=1SG"	"'It was Mike that I hit"	"' As in SLQZ, a subject can be focused in TMZ by appearing in front of the verb preceded by làa'"	"SLQZ"
"78"	"Chiia Li'eb."	"IRR.go Felipe"	"'Felipe will go'"	"TMZ"
"79"	"Li'eb chiia."	"Felipe IRR.go"	"'Felipe will go'"	"TMZ"
"80"	"Làa' Li'eb chiia."	"LÀA' Felipe IRR.go"	"'Felipe will go'"	"TMZ"
"81"	"Tu-nìi' chiia. who-NÌI' IRR.go 'Who will go?' However, the use of làa' with objects in TMZ seems to be different than in SLQZ. It"	"seems that some instances of the use of làa' are conditioned by something other than focus, because in some cases the use of làa"	"' before an object is obligatory, as in (43). Thus, in (43b), Jwaany can only be interpreted as a subject, since it is not preceded by làa'"	"TMZ"
"82"	"Gùu'ann w-cwani'ih làa' Jwaany."	"bull PERF-kick LÀA' John"	"'The bull kicked John'"	"TMZ"
"83"	"Co'ch x:tèe'n=a' nàa n-quiets."	"car of=1SG COP ADJ-white"	"'My car is white'"	"TMZ"
"85"	"X:-co'ch=a' nàa n-quiets."	"POSS-car=1SG COP ADJ-white"	"'My car is white'"	"TMZ"
"86"	"X:-co'ch Pa'anfy nàa n-quiets. POSS-car Pam COP ADJ-white 'Pam's car is white' Many"	"types of nouns can participate in both types of possessive constructions, as with"	"'car'"	"TMZ"
"87"	"Zh:ìi'ny=a' làa Danieel."	"child=1SG be_named Daniella"	"'My child is named Daniella'"	"TMZ"
"89"	"Nah-zhih rèe' g-ùuly=ni' làa'any"	"lahahzh Dabi'd {Rro'd bzììi"	"' re'"	"TMZ"
"91"	"Nndèe' nàa to'ohby istoory x:tèe' to'ohby mìi'iny this COP one story"	"of one child nih w-ni'ihty zh:àa'at x:tèe'n=nìi' REL PERF-lose toad of=3ANAP"	"'This is a story of a child who lost his toad'"	"TMZ"
"92"	"Nndèe g-a'c to'ohby se'nny"	"pahr làa'tuu' and nndèe"	"'that'"	"TMZ"
"93"	"Nndèe' bèe'cw nàa n-gaàa'ts."	"this dog COP ADJ-yellow"	"'This dog is yellow'"	"TMZ"
"94"	"Nndèe bèe'cw nàa n-gaàa'ts. {Nnde'nn nàa ca'rr nih bzììi' Rro'd"	"\"This is the car that Rodrigo bought\"; Mnnaàa' loh nnde"	"'nn \"I saw this one\"} § pl[ural] ra nnde'"	"TMZ"
"95"	"bèe'ecw=ca"	"dog=this"	"'this dog'"	"TMZ"
"96"	"bèe'ecw=qui"	"dog=that"	"'that dog'"	"TMZ"
"97"	"Per làa'any guêêë'dy=qui b-rììa' to'ohby niilly."	"but in hole=that PERF-leave one mole"	"'But a mole went out of that hole'"	"TMZ"
"99"	"Narèe' r-la'ab=a' bë'ëhdy gui'idy raa zh:ih."	"1SG.FP HAB-count=1SG chicken hen all day"	"'Every day, I count chickens'"	"TMZ"
"100"	"Narèe' b-la'ab=a' bë'ëhdy gui'idy nài'."	"1SG.FP PERF-count=1SG chicken hen yesterday"	"'Yesterday, I counted chickens'"	"TMZ"
"102"	"N-u'uh co'ohb, gueht."	"NEU-be masa tortilla"	"'There is tejate and tortillas'"	"TMZ"
"105"	"Chih b-dzhìe'lly=da=b when PERF-find=PL=3RESP làa' Mariia quëhnn Wsee"	"quëhnn bdòo' LÀA' Maria with Jose with baby"	"'Then they found Mary and Joseph and the baby'"	"TMZ"
"106"	"Chi'c b-rììa' mìi'iny s-to'ohby laad then PERF-leave child"	"DEF-one side gwatèe'az làa' bèe'ecw. PERF.AND.hug LÀA' dog"	"'Then the child went out the other side and went and hugged the dog'"	"TMZ"
"107"	"Z-èe dyee'p yaàa' sanàall làa' bèe'ecw"	"ZPROG-go wasp up DEF.follow LÀA' dog"	"'The wasps went and were following the dog'"	"TMZ"
"109"	"Ndèe' nàa to'ohby istoory x:tèe' to'ohby mìi'iny nih w-ni'ihty this COP one story of one child REL PERF-lose zh:àa'at"	"x:tèe'n=nìi', zuu guë'ëhcy to'ohby gyahg toad of=3ANAP NEU.stand on one tree ca-bëhzhàa'a=ni'ih, \"Zh:àa'at cu'un=ùu', zh:àa'at?\" PROG-yell=3PRX toad where=2INF toad"	"'This is a story of a child who lost his toad, standing on a log, he was yelling, \"Toad, where are you, toad?'"	"TMZ"
"110"	"Chi'c bèe'ecw ca-du'uhx ca-wììi' loh to'ohby bteheh"	"then dog PROG-bark PROG-look to one hive"	"'Then the dog was barking and looking at a hive'"	"TMZ"
"114"	"Ndèe' nàa to'ohby istoory x:tèe' to'ohby mìi'iny this COP one story"	"of one child nih w-ni'ihty zh:àa'at x:tèe'n=nìi' REL PERF-lose toad of=3ANAP"	"'This is a story of a child who lost his toad'"	"TMZ"
"115"	"N-u'uh da pastoor lugaar=qui nih NEU-be PL shepherd place=that REL r-ahp"	"do'oby guèèe'll làa' da zhi'ìi'lly. HAB-look_after whole night LÀA' PL sheep"	"'There were shepherds in that place who were taking care of sheep the whole night'"	"TMZ"
"118"	"Figure – Positional Verb – Locational Phrase . For locational phrases that are prepositional phrases the object of the preposition is the Ground."	"Various other types of phrases may also function as locative phrases in Zapotec, for example proper place names and the possessed form of"	"'house'"	"TVZ"
"120"	"Figure Positional Verb Locational Phrase = adverbial demonstrative"	"Ra bote'iy zuu rèe. PL bottle NEU.stand there"	"'The bottles are (standing) there.'"	"SLQZ"
"123"	"Particle Figure Positional Verb Locational Phrase A bote'i"	"zuu loh me'es. behind the table' / 'There"	"'s a dog (sitting) behind the table'"	"SLQZ"
"124"	"Where Positional Verb Figure Cali"	"zuu bote'iy? where NEU.stand bottle"	"'Where is the bottle?'"	"TMZ"
"125"	"Where Figure Cu'an bote'iy? where"	"bottle 'Where is the bottle?"	"' The question word cali must always be used with a verb (78b) and the question word cu'"	"TMZ"
"126"	"lhoo yixe"	"in grass"	"'in the grass'"	"SBZZ"
"127"	"Dxi=ba lhoo yixe. stative.sit=3AN in grass 'It's sitting in the"	"grass' Although I have only briefly looked at responses to"	"'where'"	"SBZZ"
"128"	"Cali zuu bèe'ecw?"	"where NEU.stand dog"	"'Where is the dog?'"	"TMZ"
"129"	"Cu'an bèe'ecw?"	"where dog"	"'Where is the dog?'"	"TMZ"
"130"	"Bèe'ecw zuu rèe'."	"dog NEU.stand here"	"'The dog is here'"	"TMZ"
"131"	"Bèe'ecw zuu dehts yu'uh."	"dog NEU.stand behind house"	"'The dog is behind the house'"	"TMZ"
"132"	"dehts yu'uh"	"behind house"	"'behind the house'"	"TMZ"
"133"	"rèe'"	"here"	"'here'"	"TMZ"
"136"	"Narèe' n-u'=a' dehts me'es."	"1SG.FP NEU-be=1SG behind table"	"'I am behind the table'"	"TMZ"
"137"	"Narèe' n-u'=a' dehts=nìi'."	"1SG.FP NEU-be=1SG behind=3PROX"	"'I am behind it'"	"TMZ"
"139"	"Pu'unnt me'es gwùu'ch."	"end table PERF.break"	"'The end of the table broke'"	"TMZ"
"140"	"B-zêëb=a' li'ebr pu'unnt me'es."	"PERF-put=1SG book at_end_of table"	"'I put the book at the end of the table'"	"TMZ"
"141"	"B-zêëb=a' li'ebr pu'unnt=nìi'."	"PERF-put=1SG book at_end_of=3PRX"	"'I put the book at the end of it'"	"TMZ"
"142"	"Li'ebr rèe' nàa li'ebr x:tèe' ra rraan."	"book this COP book about PL frog"	"'This book is a book about frogs'"	"SLQZ"
"143"	"Chi'cy gw-eheh Wsee a'st Bele'nng"	"then PERF-go Joseph until Bethlehem"	"'Then Joseph went to Bethlehem'"	"TMZ"
"145"	"W-dìi'x Mariia bdòo' làa'any peseebr, tye'nn PERF-lay_down Maria baby in stable because quë'ity=di'"	"to'ohby x:lyeht pahr làa'dab làa'any mesoon. NEG=NEG one place for 3RESP.PL.FP in hostel"	"'Mary laid the baby down in a stable, because there was no place for them in the hostel'"	"TMZ"
"147"	"...m-nàa"	""	"'az      polisiia   nàa'"	""
"148"	"...PERF-grab police 1SG.FP"	"again Santa Monica"	"'... the police caught me again in Santa Monica'"	"SLQZ"
"149"	"...te'ihby gwe'ell=ih"	"b-i-zhìel=ëhnn zèèi"	"'ny    Cu'"	""
"150"	"...one time=DIST PERF-go-find=1PL work Culver_City nadìi'zh car wash ny-utìe=nn"	"ny-ie'ny=ëhnn zèèi'ny. supposed car wash SUB-enter=1P SUB-do=1PL work and"	"'heaven'"	"SLQZ"
"151"	"N-u'uh da pastoor lugaar=qui"	"NEU-be PL shepherd place=that"	"'There were shepherds in that place'"	"TMZ"
"153"	"Làad=ih tu g-uuny zèèi'ny làa'any rrestaura'aann? side=DIST who IRR-do"	"work in restaurant 'On that side [in Mexico] who"	"'s going to work in a restaurant?'"	"SLQZ"
"154"	"Nah-zhih rèe' g-ùuly=ni' làa'any lahahzh Dabi'd now-day this PERF-be_born=3REV"	"in hometown David 'Today he was born in David"	"'s hometown'"	"TMZ"
"157"	"Narèe' n-u'=a' ni'ih me'es."	"1SG.FP NEU-be=1SG under table"	"'I am under the table'"	"TMZ"
"158"	"R-ahc làa'any=a'."	"HAB-hurt stomach=1SG"	"'My stomach hurts'"	"TMZ"
"159"	"Narèe' zòob=a' làa'any co'ch."	"1SG.FP NEU.sit=1SG in car"	"'I am sitting in the car'"	"TMZ"
"161"	"Narèe' zòob=a' loh me'es."	"1SG.FP NEU.sit=1SG on table"	"'I am sitting on the table'"	"TMZ"
"165"	"R-ahc zh:ààa'n=a'."	"HAB-hurt buttocks=1SG"	"'My buttocks hurt'"	"TMZ"
"169"	"R-ahc de'ts=a'."	"HAB-hurt back=1SG"	"'My back hurts'"	"TMZ"
"170"	"R-ahc guë'ëcy=a'."	"HAB-hurt head=1SG"	"'My head hurts'"	"TMZ"
"171"	"R-ahc làa'any=a'."	"HAB-hurt stomach=1SG"	"'My stomach hurts'"	"TMZ"
"172"	"R-ahc luù=a'."	"HAB-hurt face=1SG"	"'My face hurts'"	"TMZ"
"173"	"R-ahc ni'=a'."	"HAB-hurt foot=1SG"	"'My foot hurts'"	"TMZ"
"174"	"R-ahc nnaà=a'."	"HAB-hurt hand=1SG"	"'My hand hurts'"	"TMZ"
"175"	"R-ahc ru'=a'."	"HAB-hurt mouth=1SG"	"'My mouth hurts'"	"TMZ"
"176"	"R-ahc têë'ix=a'."	"HAB-hurt torso=1SG"	"'My side (ribs) hurts'"	"TMZ"
"177"	"R-ahc zhi'=a'."	"HAB-hurt nose=1SG"	"'My nose hurts'"	"TMZ"
"178"	"R-ahc zh:àa'n=a'."	"HAB-hurt buttocks=1SG"	"'My buttocks hurt'"	"TMZ"
"179"	"R-ahc zh:ùu'cw=a'."	"HAB-hurt arm=1SG"	"'My upper arm hurts'"	"TMZ"
"181"	"Cay-ùu'll=na'ah."	"PROG-sing=3DST"	"'He is singing'"	"TMZ"
"182"	"Cay-ùu'll=na'ah làa'any yu'uh."	"PROG-sing=3DST in house"	"'He is singing in the house'"	"TMZ"
"183"	"N-iga'ah-ye'ihsy=na'ah cwe'eh yu'uh."	"NEU-lie-sleep=3DST beside house"	"'He is sleeping beside the house'"	"TMZ"
"184"	"N-iga'ah-ye'ihsy=na'ah làa'any yu'uh."	"NEU-lie-sleep=3DST in house"	"'He is sleeping in the house.'"	"TMZ"
"185"	"N-iga'ah-ye'ihsy=na'ah dehts yu'uh."	"NEU-lie-sleep=3DST behind house"	"'He is sleeping behind the house.'"	"TMZ"
"186"	"Prepositional Phrase ni'ih"	"me'es under table"	"'under the table'"	""
"187"	"Possessed Noun Phrase ni'ih me'es foot table 'the table's foot' NP NP possessed possessor Consider , below,"	"where the verb zùub 'sit' c-selects a complement, which I've put in bold. Note that zùub 'sit"	"' requires such a complement, and is not intransitive, as its English gloss may suggest (13b). What is the syntactic category of this complement? Following MacLaury'"	NA
"188"	"Bèe'cw zùub ni'ih me'es."	"dog NEU.sit under table"	"'The dog is sitting under the table'"	"SLQZ"
"189"	"Bèe'cw zùub ri'cy."	"dog NEU.sit there"	"'The dog is sitting there'"	"SLQZ"
"190"	"Bèe'cw zùub tráhsdeh me'es. which shows that it is not the case that a phrase"	"beginning with any component part word will satisfy the selectional restrictions of the verb. Dyahg"	"'ear'"	"SLQZ"
"191"	"Bèe'ecw n-u'uh ni'ih me'es=nèe gahx: gyizhi'iilly."	"dog NEU-be under table=and near chair"	"'The dog is lying under the table and near the chair'"	"TMZ"
"192"	"Bèe'ecw b-ihahb ru'uh venta'n=nèe a'st loh yuhuh."	"dog PERF-fall_out at_edge_of window=and onto on ground"	"'The dog fell out of the window and on to the ground'"	"TMZ"
"194"	"me-w d' vévíé ná dodókp lá"	"1SG-do work hard give exam def.det"	"'I worked hard for the exam.'"	"E"
"196"	"Me'eu da loh me'es. dirty PL face table 'The tabletops are"	"dirty' It is also possible that the component part preposition loh"	"'on'"	"TMZ"
"198"	"Cantidaa gyizhi'iilly nàa na-gàa'ah."	"many chair COP ADJ-green"	"'Many chairs are green'"	"TMZ"
"199"	"Cantidaa dehts gyizhi'iilly nàa na-gàa'ah."	"many back chair COP ADJ-green"	"'Many of the chair backs are green'"	"TMZ"
"201"	"B-zìi'=a' chòonn me'es."	"PERF-buy=1SG three table"	"'I bought three tables'"	"TMZ"
"202"	"B-syàa=a' chòonn loh me'es."	"PERF-clean=1SG three face table"	"'I cleaned three table tops'"	"TMZ"
"203"	"B-zuù=a' ba's loh chòonn me'es."	"PERF-stand=1SG cup on three table"	"'I put cups on three tables'"	"TMZ"
"204"	"Chi'c=ru' w-nàa' mìi'iny loh tyo'p zh:àa'at"	"then=anymore PERF-see child to two toad"	"'Then the child saw two toads'"	"TMZ"
"205"	"chih b-dìi'lly mìi'iny làa' zh:àa'at when PERF-look_for child LÀA' toad"	"raa làa'any x:ahb=nìi'; raa nehz=tèe' all in POSS.clothes=3ANAP all way=INTSV"	"'Then the child looked for the toad, all in his clothes, everywhere'"	"TMZ"
"206"	"B-tìia=a' gyahg chuu'll."	"PERF-paint=1SG tree pretty"	"'I painted (e.g. a picture of) a beautiful tree'"	"TMZ"
"207"	"B-tìia=a' guë'ëhcy chuu'll gyahg."	"PERF-paint=1SG top pretty tree"	"'I painted (e.g. a picture of) the beautiful top of the tree'"	"TMZ"
"208"	"Ma'any-i'ih zòob guë'ëhcy gyahg chuu'll."	"animal-DIM NEU.sit on tree pretty"	"'The bird is sitting on the beautiful tree'"	"TMZ"
"209"	"Bèe'ecw n-u'uh ni'ih me'es. dog NEU-be_AT foot table 'The"	"dog is at / by the table's foot' >"	"'The dog is under the table'"	"H"
"210"	"Bèe'ecw n-u'uh ni'ih me'es."	"dog NEU-be under table"	"'The dog is under the table'"	"H"
"212"	"Bèe'ecw n-u'uh ni'ih me'es na-gaàa'ts."	"dog NEU-be under table ADJ-yellow"	"'The dog is under the yellow table'"	"H"
"213"	"Ni'ih na-gaàa'ts me'es gwùu'ch."	"foot ADJ-yellow table PERF.break"	"'The yellow leg of the table broke'"	"H"
"215"	"X:-quihche'ehcy=a' me'eu."	"POSS-hair=1SG dirty"	"'My hair is dirty'"	"TMZ"
"216"	"X:-ca'ch bzêiny gwùu'ch. POSS-horn"	"deer PERF.break 'The deer"	"'s antlers broke'"	"TMZ"
"218"	"Ca-tìaa'=na'ah làa'any ydòòo'. 'He is painting"	"the inside of the church' or"	"'He is painting (while) in the church'"	"TMZ"
"220"	"Ca-tìaa'=na'ah."	"PROG-paint=3DST"	"'He is painting'"	"TMZ"
"222"	"component part preposition as prepositional"	"head PP P NP ni"	"'ih me'"	""
"224"	"[lao yobi don domingo Ramirez] … chela [lao naa sebast face same Don Domingo Ramirez …"	"and face 1SG Sebastian lopez Escuos xiteni=ni] bi-eni.lao sebastian lopez Lopez scribe of=3 PERF-appear Sebastian Lopez"	"'[before the same Don Domingo Ramirez] … and [before me, Sebastian Lopez, his scribe], Sebastian Lopez appeared'"	"CVZ"
"226"	"chela lao=ca sor do Jº"	"perez gr . While loh"	"'face'"	"CVZ"
"227"	"lao yobi don domingo Ramirez… face same Don Domingo Ramirez… chela lao naa sebast lopez"	"and face 1SG Sebastian Lopez Escuos xiteni=ni bi-eni.lao sebastian lopez scribe of=3 PERF-appear Sebastian Lopez"	"'before the same Don Domingo Ramirez … and before me, Sebastian Lopez, his scribe, Sebastian Lopez appeared'"	"CVZ"
"229"	"lao yobi don Miguel face same don Miguel lopez guor chela Juan de ordinari e matia lopez alls Lopez governor and"	"Juan de Alvarado and Matias Lopez alcaldes ordinaries por su magestad bi-eni.laa Julian lopez ordinaries for his majesty PERF-appear Julian lopez"	"'before the same Don Miguel Lopez, governor, and Juan de Alvarado and Matias Lopez, alcaldes ordinaries for his majesty, appeared Julian Lopez'"	"CVZ"
"231"	"láoquíxi"	""	"'field, in general'"	""
"232"	"láche,"	"làache"	"'field, or plowed land'"	""
"233"	"yòo"	""	"'land, in general'"	""
"235"	"che=to queya quille=to xilla=la quicha=la"	"IRR.go=2PL market IRR.look_for=2PL cotton=and wool=and"	"'You are to go to the market, you are to look for cotton and wool'"	"CVZ"
"237"	"tuatinij gueche San Bartolome Saabeechee here pueblo San"	"Bartolome Saabeechee Jurisdicion guechee Loolaha jurisdiction town Oaxaca"	"'Here, in this pueblo San Bartolome Saabeechee (in) the jurisdiction of the town of Oaxaca'"	"CVZ"
"238"	"gui-ayeni gui-ra beni gueche rini IRR-understand"	"IRR-all person town this xi-ticha=ya POSS-word=1SG"	"'All the people of this town should understand my words'"	"CVZ"
"239"	"quetao juo lopez beñigualachi quechi late Juan"	"Lopez native pueblo sant sebastian San Sebastian"	"'the late Juan Lopez, native of the pueblo of San Sebastian'"	"CVZ"
"240"	"lao gueche zetoba pvincia Lolaha"	"face pueblo Zetoba province Oaxaca"	"'In the pueblo of Zetoba, province of Oaxaca'"	"CVZ"
