"Zap"	"Gloss"	"Trans"	"Lang"
"26"	"B-zu’aht-ne:e Jwaany na:a’."	"perf-play-with Juan lsg"	"‘Juan played with me’"	""
"27"	"R-yu’la:a:a’z-daa:a’n Jwaany na:a’."	"hab-like-very Juan lsg"	"‘Juan likes me very much’"	""
"28"	"Nahll-ta’ (cay-ahc) pahr y-rii:a’ bu:unnyjweer. cold-too prog-be for irr-go.out person outside"	""	"‘It’"	""
"29"	"Laranng b-da’uhw-eng comiied."	"3sg perf-eat-3sg food"	"‘HE ate the food’"	""
"30"	"R-yu’laa:a’z-eng na:a’."	"hab-like-3sg lsg"	"‘He likes me’"	""
"31"	"R-yu’la:a:a’z Jwaany na:a’."	"hab-like Juan lsg"	"‘Juan likes me’"	""
"32"	"R-umbe:e’-nn-ih."	"hab-know-lpl-3sg.dist"	"‘We know him’"	""
"33"	"R-umbe:e’ Jwaany-ih.20"	"hab-know Juan-3sg.dist"	"‘Juan knows him’"	""
"34"	"De’ts-a’ zuu mee’s."	"back-lsg neutstand table"	"‘The table is behind me’"	""
"35"	"Z-ya:all-a’ cehnn la:anng."	"def-come-lsg with 3sg"	"‘I came with him’"	""
"36"	"Liebr zurubloh mee’s. book neutsit face table"	""	"‘There’"	""
"37"	"B-cwa:a:-a’ Jwaany pelo’t loh Beed."	"perf-throw-lsg Juan ball face Pedro"	"‘Juan threw the ball to Pedro’"	""
"38"	"Zyuu:a’Il-ru’ Jwaany"	"loh Beed."	"‘Juan is taller than Pedro’"	""
"39"	"R-umbi:-a’ ra studya’aann."	"hab-know-lsg pi student"	"‘I know the students’"	""
"40"	"liebr"	""	"‘book’"	""
"41"	"x:-liebr Lieeb"	"poss-book Felipe"	"‘Felipe’"	""
"42"	"yu’uh"	""	"‘house’"	""
"43"	"liihahz Lieeb"	"house Felipe"	"‘Felipe’"	""
"44"	"ra’ Lieeb"	"mouth Felipe"	"‘Felipe’"	""
"45"	"x:-azhi’ Lieeb"	"poss-nape Felipe"	"‘The back of Felipe’"	""
"46"	"bu’uhuhdy"	""	"‘chicken’"	""
"47"	"x:-pu’uhuhdy Lieeb"	"poss-chicken Felipe"	"‘Felipe’"	""
"48"	"be:e’cw"	""	"‘dog’"	""
"49"	"x:-ye:e’cw Lieeb"	"poss-dog Felipe"	"‘Felipe’"	""
"50"	"x:-pu’uliuhdy-a’"	"poss-chicken-lsg"	"‘my chicken’"	""
"51"	"R-dyaa:a’n-a’."	"hab-hungry-lsg"	"‘I get hungry’"	""
"52"	"Cal-dyaaia’n-a’.24"	"prog-hungry-lsg"	"‘I am hungry’"	""
"53"	"Il-dyaa:a’n-a’."	"irr-hungry-lsg"	"‘I will be hungry’"	""
"54"	"B-dyaa:a’n-a’."	"perf-htmgry-lsg"	"‘I was hungry’"	""
"55"	"Cei’ty n-dyaa:a’n-dy-a’ not"	"subj -hungry-neg- lsg"	"‘I didn’"	""
"56"	"S-dyaa:a’n-a’."	"def-hungry-lsg"	"‘I will surely get hungry’"	""
"57"	"Xniaa liebr."	"red book"	"‘The book is red’"	""
"58"	"Xniaa n-aa liebr."	"red neut-be book"	"‘The book is red’"	""
"59"	"Xniaa g-uhc liebr."	"red peif-be book"	"‘The book was red’"	""
"60"	"Xniaa g-a’c liebr."	"red irr-be book"	"‘The book will be red’"	""
"61"	"Ua’s nsehe’s cabai."	"very fast horse"	"‘The horse is fast’"	""
"62"	"Ua’s nsehe’s g-uhc cabai."	"very fast perf-be horse"	"‘The horse was fast’"	""
"63"	"Ua’s nsehe’s g-a’c cabai."	"very fast irr-be horse"	"‘The horse will be fast’"	""
"64"	"Asua’ll n-a:a liebr."	"blue neut-be book"	"‘The book is blue’"	""
"65"	"Liebr n-a:a asu’all."	"book neut-be blue"	"‘The BOOK is blue’"	""
"66"	"Nahll cafee."	"cold coffee"	"‘The coffee is cold’"	""
"67"	"cafee nahll"	"cofee cold"	"‘cold coffee’"	""
"68"	"Nde:e n-a:a x-:cotoony Gyeeihlly."	"tight neut-be poss-shirt Mike"	"‘Mike’"	""
"69"	"Nde:e x:-cotoony Gyeeihlly."	"tight poss-shirt Mike"	"‘Mike’"	""
"70"	"B-le:egwu:u’an Gyeeihlly cotoony de:e x:te:e’ Gyeeihlly."	"perf-throw.away Mike shirt tight poss Mike"	"‘Mike threw away his tight shirt’"	""
"71"	"B-de:e x:-cotoony Gyeeihlly chih b-zalloh ca-ro’Gyeeihlly. perf-get.tight poss-shirt Mike when perf-begin prog-grow Mike"	""	"‘Mike’"	""
"72"	"ro’pta’ (ra) liebr xniaa re:e’ x:te:e’ Gyeeihlly"	"the.two pi book red this poss Mike"	"‘these two red books of Mike’"	""
"73"	"Juan escribe cartas mds aburrid-a-s que Maria. Juan write.3sg"	""	"‘° letters ER boring-f-pl that Maria ‘Juan writes more boring letters than Maria.’"	""
"74"	"Juan escribe cartas mds frecuente-mente que Maria."	"Juan write.3sg letters ER frequent-ly that Maria"	"‘Juan writes letters more often than Maria.’"	""
"75"	"Juan escribe mds cartas que Maria"	"Juan write.3sg ER.MUCH.f.plu letters that Maria"	"‘Juan writes more letters than Marfa. ’"	""
"76"	"Juan escribe mds que Maria."	"Juan write.3sg ER.MUCH that Maria"	"‘Juan writes more than Maria.’"	""
"77"	"not modify any particular word, other than possibly the verbal predi­ cate. Rojas Nieto (1990) considers the ELEMENTO GRADUADO"	""	"‘graduated/graded 0 Here, we see that Prytz does not take verbs to be able to function as the nucleus of a compar­ 101 will not gloss present tense or indicative mood in the Spanish data in this dissertation, so \" I will gloss Spanish mds as ‘ER.MUCHjm.pl’"	""
"78"	"Pilar es mds alt-a"	"que antes. Pilar be.3sg"	"‘s ER tall-f16 that before ‘Pilar is taller than before. ’"	""
"79"	"Pilar es m&s alt-a que fuerte."	"Pilar be.3sg ER tall-f that strong18"	"‘Pilar is more tall than strong. ’"	""
"80"	"rejects the use of the traditional term SEGUNDO T^RMINO DE LA COMPARA- C36N for the standard of comparison. As we see above, he reserves the term SE- GUNDO t Er M N O exclusively for the contrasting elements within the standard of comparison. He calls the entire standard of comparison the T^RMINO SUBORDINA- DO DE LA COMPARACI6N"	""	"‘subordinate term of the comparison’"	""
"81"	"Josd is more grouchy on Mondays than Pedro is on Tuesdays. The common ground in (28) is Jose, whereas in (29), there is no common 45 For the sake o f simplicity, I do not mention tense as part of the common ground even when 48 Prytz does not take functional elements such as the copula es"	""	"‘is’"	""
"82"	"El cielo estd mas gris que hace diezminutos. the-m56 sky be.3sg ER gray that57 make.3sg ten minutes"	""	"‘The sky is grayer than ten minutes ago’"	""
"83"	"El espanol es mas fdcil que 1-a geometrfa."	"the.m Spanish be.3sg ER easy that the-f geometry"	"‘Spanish is easier than geometry’"	""
"84"	"Mi58 tfo estd mascansad-o que mi tfa. lsg.poss uncle be.3sg ER tired-m that lsg.poss aunt"	""	"‘My uncle is more tired than my aunt’"	""
"85"	"Tu-s amigos son m as apdtic-o-s que 2sg.poss-pl friends be.3pl ER apathetic-m-pl that 1-o-s de Eduardo the-m-pl of Eduardo [polysyllabic adj.]"	""	"‘Your friends are more apathetic than Eduardo’"	""
"86"	"Este59 profesorexplica 1-a gramdtica m as this.m professor.m explain.3sg the-f"	"grammar ER detallada-mente que el otr-o. detailed-LY that the.m other-m"	"‘This professor explains the grammar in more detail than the other one’"	""
"87"	"Josd trabaja m as duro que Uds. Josd work.3sg ER hard.n that 3pl.nom"	""	"‘Josd works harder than you’"	""
"88"	"Ernesto compr6 mas libros que Luis. Ernesto buy.pret.3sg61 ER.MUCH.m.pl.62books that Luis"	""	"‘Ernesto bought more books than Luis’"	""
"89"	"Ernesto quiere m is a Luis que a ml. Ernesto love.3sg ER.MUCH p.a Luis that p.a lsg.obl"	""	"‘Ernesto loves Luis more than he does me’"	""
"90"	"Ernesto gana m as dinero que Luis. Ernesto eam.3sg ER.MUCH.m money that Luis"	""	"‘Ernesto earns more money than Luis’"	""
"91"	"Ernesto estudia m as que Luis."	"Ernesto study.3sg ER.M UCH that Luis"	"‘Ernesto studies more than Luis ’"	""
"92"	"Ernesto se concentra m as que Luis Ernesto refl63 concentrate.3sg ER.MUCH that Luis durante un-a prueba. during a-f test"	""	"‘Ernesto concentrates more than Luis during a test’"	""
"93"	"Connte’enn-ru’ n-u’ Jwaany cah Wsee. content-ER"	"neut-be68 Juan than®9Jose [with copula nu’]"	"‘Juan is more content than Josd’"	""
"94"	"Maaz-ru’ connte’enn n-u’ Jwaany cah Wsee."	"MAAZ-ER content neut-be Juan than Josd"	"‘Juan is more content than Josd’"	""
"95"	"Nsinni’cy-ru’ n-a:a Jwaany cah Wsee. intelligent-ER neut-be Juan than Josd [with copula na:a\"	""	"‘Juan is more intelligent than Josd’"	""
"96"	"Maaz-ru’ nsinni’cy n-a:a Jwaany cah Wsee."	"MAAZ-ER intelligent neut-be Juan than Josd"	"‘Juan is more intelligent than Josd’"	""
"97"	"Nsinni’cy-ru’ Jwaany cah Wsee. intelligent-ER Juan than Josd [without a copula]"	""	"‘Juan is more intelligent than Josd’"	""
"98"	"Maaz-ru’ nsinni’cy Jwaany cah Wsee."	"MAAZ-ER intelligent Juan than Josd"	"‘Juan is more intelligent than Josd’"	""
"99"	"Nsehe’s-ru ’ r-zh: u: u’nny Rrodriiegw cah Liieb. fast-ER hab-run Rodrigo than Felipe"	""	"‘Rodrigo runs faster than Felipe’"	""
"100"	"W-ta’ihsy-ru’ Rrodriiegw cah Liieb."	"perf-sleep-ER Rodrigo than Felipe"	"‘Rodrigo slept more than Felipe’"	""
"101"	"Maaz-ru’ w-ta’ihsy Rrodriiegw cah Liieb."	"MAAZ-ER perf-sleep Rodrigo than Felipe"	"‘Rodrigo slept more than Felipe’"	""
"102"	"Mnii’iny-ru’ Jwaany cah Wsee."	"child-ER Juan than Josd"	"‘Juan is more of a child than Josd’"	""
"103"	"Maaz-ru ’ mnii ’iny Jwaany cah"	"Wsee. MAAZ-ER child Juan than Josd"	"‘Juan is more of a child than Josd’"	""
"104"	"Zye:einy-ru’ liebr b-zi:i:i’ Rrodriiegw cah Liieb."	"MUCH.sol/abs-ER book perf-buy Rodrigo than Felipe"	"‘Rodrigo bought more books than Felipe’"	""
"105"	"Zi:i’lly-ru’ biien gwe:e’eh"	"Rrodriiegw cah Liieb."	"‘Rodrigo drank more wine than Felipe’"	""
"106"	"Maaz-ru’ zye:einy liebr b-zi:i:i’ Rrodriiegw cah Liieb."	"MAAZ-ER MUCH.sol/abs book perf-buy Rodrigo than Felipe"	"‘Rodrigo bought more books than Felipe’"	""
"107"	"Maaz-ru’ zi:i’lly biien gwe:e’eh Rrodriiegw cah Liieb."	"MAAZ-ER MUCH.liq/gas wine perf.drink Rodrigo than Felipe"	"‘Rodrigo drank more wine than Felipe’"	""
"108"	"L-a-s nifias cantaron mds canciones que 1-o-s ninos."	"the-f-pl girls sing.pret.3pl ER.MUCH.f.pl songs that the-m-pl boys"	"‘The girls sang more songs than the boys’"	""
"109"	"Zye:einy-ru’ cansyoony b-i:i’lly ra zhyara’p cah ra mnii’inv ngiuru’w. MUCH.sol/abs-ER song perf-singpl girl than pi child male"	""	"‘The girls sang more songs than the boys’"	""
"110"	"L-a-s ninas cantaron mds de diez canciones. the-f-pl girls sing.pret.3pl ER.MUCH.f.pl of73ten songs"	""	"‘The girls sang more than ten songs’"	""
"111"	"Maaz-da’ tse:ea’ cansyoony b-i:i’lly ra zhya:a’p."	"MAAZ74-than7S ten song perf-sang pi girl"	"‘The girls sang more than ten songs’"	""
"112"	"Zye:einy-ru’ cansyoony b-i:i’lly ra zhya:a’p"	"MUCH.sol/abs-ER song perf-sing pi girl"	"‘The girls sang more songs’"	""
"113"	"L-a-s ninas cantaron algun-a-s canciones, y luego, the-f-pl girls sing.pret.3pl"	"some-f-pl songs and then cantaron mds canciones. sing.pret.3pl ER.MUCH.f.pl songs"	"‘The girls sang some songs, and then they sang more songs’"	""
"114"	"Chih w-luhahzh b-i:i’Uy razhya:a’p du:u’zh cansyoony when perf-finish perf-sing pi girl NEG.MUCH76 song chieru’ b-i:i’lly-nh s-tu:u’zh-ih. then perf-sing-3pl.distal deP-NEG.MUCH-Spl.distal"	""	"‘When the girls finished singing some songs, (then) they sang more songs’"	""
"115"	"Zyereiny cansyoony b-i:lly ra mnii’iny ngiu:u’w pehr MUCH.sol/abs song perf-sing pi child"	"male but zye:einy-ru’ cansyoony b-i:lly ra zhyara’p. MUCH.sol/abs-ER song perf-sing pi girl"	"‘The boys sang many songs, but the girls sang more songs’"	""
"116"	"L-a-s ninas cantaron diez canciones."	"the-f-pl girls sing.pret.3pl ten songs"	"‘The girls sang ten songs’"	""
"117"	"Tse:ea’ cansyoony b-i:i’lly ra zhya:a’p."	"ten songs perf-sing pi girl"	"‘The girls sang ten songs’"	""
"118"	"L-a-s ninas cantaron much-[]-a-s canciones."	"the-f-pl girls sing.pret.3pl very-MUCH-f-pl songs"	"‘The girls sang many songs’"	""
"119"	"Zye:einy cansyoony b-i:i’lly ra zhya:a’p"	"MUCH.sol/abs song perf-sing pi girl"	"‘The girls sang many songs’"	""
"120"	"Zye:einy-ru’ liebr b-i:i’lly Rrodriiegw cahLiieb. MUCH.sol/abs-ER book perf-read Rodrigo than Felipe"	""	"‘Rodrigo read more books than Felipe’"	""
"121"	"Rodrigo ley6 mds libros que Felipe."	"Rodrigo read.pret.3sg ER.MUCH.rn.pl books than Felipe"	"‘Rodrigo read more books than Felipe. 88 I define this type of comparison as COMPARATIVE ELLIPSIS. The notion of I deviate from this definition in order to distinguish other constructions In Price’"	""
"122"	"Rodrigo comprd mds naranjas que manzanas."	"Rodrigo buy.pret.3sg ER.MUCH.f.pl oranges that apples"	"‘Rodrigo bought more oranges than apples’"	""
"123"	"Zye:einy-ru’ nraazh b-zi:i:i’ Rrodriiegw cahmannsaan. MUCH.sol/abs-ER orange perf-buy Rodrigo than apple"	""	"‘Rodrigo bought more oranges than apples’"	""
"124"	"Felipe lav6 mds coches de 1-f 1-o-s Felipe wash.pret.3sg ER.MUCH.rn.pl cars of the-MUCH-m-pl que lavri Rodrigo, that wash.pret.3sg Rodrigo"	""	"‘Felipe washed more cars than Rodrigo washed’"	""
"125"	"Felipe lav6 mds coches Felipe wash.pret.3sg ER.MUCH.rn.pl cars"	"que camionetas lavdj Rodrigo, that pick.up.trucks wash.pret.3sg Rodrigo"	"‘Felipe washed more cars than Rodrigo washed pick-up trucks’"	""
"126"	"and Price (1990). Another type of CS allowed by some speakers of Spanish’4involves a parti­ 84 Note, as a point of comparison, that this construction is perfectly allowed in French, a lan­ (i) Philippe a lavd plus de voitures que Roger n’-a lavd Philippe has washed ER.MUCH of cars that Roger not-has washed de camions, of trucks"	""	"‘Phillipe washed more cars than Roger washed trucks’"	""
"127"	"Felipe lav6 mds coches de lo que Felipe wash.pret.3sg ER.MUCH.rn.pl cars"	"of the.n95 that Rodrigo lav6 de camionetas. Rodrigo wash.pret.3sg of pick.up.trucks."	"‘Felipe washed more cars than Rodrigo washed pick-up trucks’"	""
"128"	"Zye:einy-ru’ ca’rr b-di:i’by Liieb. Du:u’zh-ru’ camione’t MUCH.sol/abs-ER car"	"perf-wash Felipe NEG.MUCH-ER pick.up.truck b-di:i’by Rrodriiegw. perf-wash Rodrigo"	"‘Felipe washed more cars. Rodrigo washed fewer pick-up trucks’"	""
"129"	"Zye:einy-ru’ ca’rr b-di:i’by Liieb cah ze’cy nih MUCH.sol/abs-ER car perf-wash Felipe"	"than thus rel b-di:i’by Rrodriiegw camione’t. perf-wash Rodrigo pick. up. truck"	"‘Felipe washed more cars than Rodrigo washed pick-up trucks’"	""
"130"	"Zye:einy-ru’ ca’rr b-di:i’by Liieb cah ze’cy-dya’ camione’t MUCH.sol/abs-ER car perf-wash"	"Felipe than thus-MUCH pick.up.truck nih b-di:i’by Rrodriiegw rel perf-wash Rodrigo"	"‘Felipe washed more cars than Rodrigo washed trucks’"	""
"131"	"Felipe Iavo m3s coches de lo que Rodrigo Felipe wash.pret.3sg ER.MUCH.rn.pl cars of them that Rodrigo"	"le pidid (que lavara [ ] de coches) 3sg.dat ask.pret.3sg that wash.imp.subj.3sg98 [ ] of cars"	"‘Felipe washed more cars than Rodrigo asked him to (wash X-many cars) ’"	""
"132"	"Zye:einy-ru’ ca’rr b-di:i’by Liieb cah nih r-zilla:a:a’z-u’ MUCH.sol/abs-ER car perf-wash Felipe than"	"rel hab-think-2sg (b-di:i’by-eng [ ]r a ca’rr).99 perf-wash-3sg. [ ] pi car"	"‘Felipe washed more cars than you think (that he washed X-many cars)’"	""
"133"	"but not (168) or (170), for instance. In gapping, a clause appears with some “ The abbreviations"	""	"‘imp’"	""
"134"	"Felipe ate chapulines."	"and Rodrigo, tortillas."	"‘Felipe ate chapulines, and Rodrigo (ate) tortillas’"	""
"135"	"Felipe comio chapulines. y Rodrigo Felipe eat.pret.3sg chapulines and Rodrigo tortillas"	""	"‘Felipe ate pizza, and Rodrigo (ate) tortillas’"	""
"136"	"Felipe lav6 mds coches que Rodrigo camionetas."	"Felipe wash.pret.3sg ER.MUCH.rn.pl cars that Rodrigo pick.up.trucks"	"‘Felipe washed more cars than Rodrigo pick-up trucks’"	""
"137"	"?Felipe washed more cars"	"than Rodrigo, pick-up trucks."	"‘Felipe washed more cars than Rodrigo (washed) pick-up trucks’"	""
"138"	"Felipe pas6 m£s tiempo en San Lucas que Felipe pass.pret.3sg ER.MUCH.m"	"time in San Lucas that Rodrigo en Oaxaca. Rodrigo in Oaxaca."	"‘Felipe spent more time in San Lucas than Rodrigo (spent) in Oaxaca’"	""
"139"	"Julia canta mejor que yo."	"Julia sing.pres.3sg well.ER that lsg.nom"	"‘Julia sings better than me’"	""
"140"	"Julia compr6 mtis naranjas que manzanas."	"Julia buy.pret.3sg ER.MUCH.f.pl oranges that apples"	"‘Julia bought more oranges than apples’"	""
"141"	"Alfredo pas<5 mris tiempo en Bdlgica Alfredo pass.pret.3sg ER.MUCH.m time in"	"Belgium que yo en el Caribe. that lsg.nom in the.m Carribean"	"‘Alfredo spent more time in Belgium than I did in the Carribean’"	""
"142"	"Alfredo compr6 mds manzanas Alfredo buy.pret.3sg ER.MUCH.f.pl"	"apples que Ignaeia naranias.117 that Ignacia oranges"	"‘Alfredo bought more apples than Ignacia, oranges’"	""
"143"	"Felipe necesita mds que agua v pan - tambidn Felipe need.3sg ER.MUCH that water and bread also necesita amor y estudios. need.3sg love and studies"	""	"‘Felipe needs more than water and bread - he also needs love and studies’"	""
"144"	"Rodrigo vio mds que a mf sol-o - tambien Rodrigo see.pret.3sg ER.MUCH that p.a lsg.obl alone-m also vio a Frederica. see.pret.3sg p.a Frederica"	""	"‘Rodrigo saw more than just me - he also saw Frederica’"	""
"145"	"Rodrigo encontrd mds que un mer-o aniHo de pldstico - Rodrigo find.pret.3sg ER.MUCH that a.m mere-m ring of plastic encontr6 un anillodeoro que antes habfa find.pret.3sg a.m ring of gold that before have.imp.3sg pertenecido al Presidente Benito Judrez. belong.pastpart to.the.m presidente Benito Juarez"	""	"‘Rodrigo found more than a mere plastic ring - he found a gold ring that had previously belonged to President Benito Juarez’"	""
"146"	"Elena es mdsalt-a que guap-o es Juan. Elena be.3sg ER tall-f that handsome-m be.3sg Juan"	""	"‘Elena is more tall than Juan is handsome’"	""
"147"	"Elena corre mds que gmyga Juan."	"Elena run.3sg ER.MUCH that walk.3sg Juan"	"‘Elena runs more than Juan walks’"	""
"148"	"Elena corre mds que corre Susana."	"Elena run.3sg ER.MUCH that run.3sg Susana"	"‘Elena runs more than Susan’"	""
"149"	"Ignacia pintri mds de sesenta cuadros."	"Ignacia paint.pret.3sg ER.MUCH.rn.pl11’ of sixty pictures"	"‘Ignacia painted more than sixty pictures’"	""
"150"	"Estudiamos mds de lo necesario."	"study.pret.lpl ER.MUCH of the.n necessary.n"	"‘We studied more than necessary’"	""
"151"	"Compramos mds sillas de l-[]-a-s necesari-a-s."	"buy.pret.lpl ER.MUCH.f.pl chairs of the-MUCH-f-pl necessary-f-pl"	"‘We bought more chairs than necessary’"	""
"152"	"L-o-s estudiantes sacaron mds puntos the-m-pl students take.ouLpret.3pl"	"ER.MUCH.rn.pl points de lo esperado. of the.n expected.n"	"‘The students got more points than expected’"	""
"153"	"6scar despidid a mds empleados Oscar see.off.pret.3sg p.a ER.MUCH.rn.pl employees de cuant-[ ]-o-s piensas. of how-MUCH-m-pl think.2sg"	""	"‘Oscar fired more employees than you think’"	""
"154"	"Tengo mds canicas de cuant-[]-a-s quisiera.122 have.lsg ER.MUCH.f.pl marbles of how-MUCH-f-plwant.imp.subj.lsg"	""	"‘I have more marbles than I would like’"	""
"155"	"Nadd mds kil6metros de cuanto pude."	"swim.pret.lsg ER.MUCH.rn.pl kilometers of how.MUCH be.able.pret.lsg"	"‘I swam impossibly many kilometers’"	""
"156"	"6scar despidi6 a mds empleados de Oscar see.off.pret.3sg p.a ER.MUCH.rn.pl employees of l-[ ]-o-s que piensas. the-MUCH-m-pl that think.2sg"	""	"‘Oscar fired more employees than you think’"	""
"157"	"Tengo mds canicas de I~[ ]-a-s que have.lsg ER.MUCH.f.pl"	"marbles of the-MUCH-f-pl that quisiera. want. imp. subj. 1sg"	"‘I have more marbles than I would like’"	""
"158"	"Nad6 mds kildmetros de lo que pude."	"swim.pret.lsg ER.MUCH.rn.pl kilometers of the.n that be.able.pret.lsg"	"‘I swam impossibly many kilometers’"	""
"159"	"Comprd mds de lo que querias."	"buy.pret.lsg ER.MUCH of the.n that want.imp.2sg"	"‘I bought more than the amount of things that you wanted me to buy’"	""
"160"	"NA"	""	"‘I bought more than that which that you wanted me to buy’"	""
"161"	"T bought more of what you wanted’ [in addition to having already bought some of what you wanted] These items all translate as"	""	"‘more than’"	""
"162"	"Maaz-da’ te’ihby gueht b-da’uhw-a’."	"MAAZ128-than one tortilla perf-eat-lsg"	"‘I ate more than one tortilla’"	""
"163"	"Maaz-da’ te’ihby ngiu:u’w w-nna:-a’."	"MAAZ-than one man perf-see-lsg"	"‘I saw more than one man’"	""
"164"	"Maaz-ru’ r-zh:u:u’nny Liieb cah (noo) Rrodriiegw."	"MAAZ-ER hab-run Felipe than (NOO) Rodrigo"	"‘Felipe runs more than Rodrigo’"	""
"165"	"Maaz-da’ cah sufisye’eemid comiied b-da’uhw-a’."	"MAAZ-than than enough food perf-eat-lsg"	"‘I ate more than enough food’"	""
"166"	"Maaz-ru’ zyereiny ca’rr n-u’ LohsAa’nngl cah MAAZ-ER MUCH.sol/abs car neut-be Los Angeles than (noo) Ldu:u’ah. (NOO) Oaxaca"	""	"‘There are more cars in Los Angeles than in Oaxaca’"	""
"167"	"Zye:einy-ru’ me’s b-zehnny"	"cah (noo) studya’aannd."	"‘More teachers arrived than students’"	""
"168"	"Zye:einy-ru’ me’s b-embi:-a’"	"cah (noo) studya’aannd."	"‘I met more teachers than students’"	""
"169"	"Maaz-ru’ nsehe’s r-uhnyBeed ze:e:i’ny cah (noo) nih MAAZ-ER fast hab-do"	"Pedro work than (NOO) rel r-ralloh Lia Paamm. hab-think miss134Pam"	"‘Pedro works faster than Pam thinks (he does)’"	""
"170"	"Zye:einy-ru’ liebr b-zi:i:i’ Beed cah (noo) nih MUCH.sol/abs-ER book perf-buy"	"Pedro than (NOO) rel b-to:o’ Lia Paamm. perf-sell miss Pam"	"‘Pedro bought more books than Pam sold’"	""
"171"	"Maaz-ru’ nsehe’s r-uhnyBeed ze:e:i’ny cah (noo) ze’cy-dya’ MAAZ-ER fast hab-do Pedro work than (NOO) thus-MUCH nih r-ralloh Lia Paamm. rel hab-think miss Pam"	""	"‘Pedro works faster than Pam thinks (he does)’"	""
"172"	"Zye:einy-ru’ lai’py r-zi:i:i’ Liieb cah (noo) ze’cy-dya’ MUCH.sol/abs-ER pencil hab-buy"	"Felipe than (NOO) thus-MUCH nih r-uhnnychi:i:a’ Rrodriiegw. rel hab-makes Rodrigo"	"‘Felipe buys more pencils than Rodrigo makes’"	""
