ipa,source,sourcepage,prev,trans,id,zap
"Beed, ridàa’nèe bèe’cw rèe chiru’ bzùu’bih loh me’es",sanlucasquiavini,4,323,"Pedro, bring the dog here and put it on the table.",440,"
Bed, ridane becw re chiru bzubi lo mes."
bo’oollz,sanlucasquiavini,4,323,bag,445,"
bolz"
bx:àady,sanlucasquiavini,4,323,chapulin (edible grasshopper),446,"
bxady"
"caba’i nèe’ èee, guallàa’ bèe’cwëng ?",sanlucasquiavini,4,323,"Is this a horse, or a dog?",438,"
Cabai nde e, guala becwëng?"
campa’nn,sanlucasquiavini,4,323,bell,447,"
campan"
chah,sanlucasquiavini,4,323,"a, an; one (used e.g. when counting tortillas)",453,"
cha"
cuahnn,sanlucasquiavini,4,323,with,448,"
cuan"
cuahnn,sanlucasquiavini,4,323,and,449,"
cuan"
cachu’ch,sanlucasquiavini,5,449,baseball cap,54,"
cachuch"
chaan,sanlucasquiavini,5,449,Feliciano,55,"
Chan"
lechuu,sanlucasquiavini,5,449,lettuce,56,"
lechu"
nzh:uhnng,sanlucasquiavini,5,449,hard,53,"
nzhung"
platii,sanlucasquiavini,5,449,cymbals,58,"
plati"
solisituu,sanlucasquiavini,5,449,application,59,"
solisitu"
tyo’p,sanlucasquiavini,5,449,two,52,"
tyop"
bu’uhdy gwu’uar,sanlucasquiavini,5,449,turkey,500,"
budy gwuar"
bu’uhdy ngu’ahll,sanlucasquiavini,5,449,male turkey,501,"
budy ngual"
bzèiny,sanlucasquiavini,5,449,deer,541,"
bzeiny"
ca’rt,sanlucasquiavini,5,449,letter,566,"
cart"
Chie’cw,sanlucasquiavini,5,449,Chico,544,"
Chiecw"
chirmia,sanlucasquiavini,5,449,traditional flute,503,"
chirmia "
clarine’t,sanlucasquiavini,5,449,clarinet,502,"
clarinet "
cotoony,sanlucasquiavini,5,449,shirt,543,"
cotony"
do’lr,sanlucasquiavini,5,449,dollar,545,"
dolr"
èee ,sanlucasquiavini,5,449,"(used at the end of a question that can be answered with a ""yes"" or queity ""no”)",504,"
e"
fa’alld,sanlucasquiavini,5,449,skirt,546,"
fald"
gasolye’nn,sanlucasquiavini,5,449,gas,547,"
gasolyen"
grabadoor ,sanlucasquiavini,5,449,tape recorder,505,"
grabador"
capii,sanlucasquiavini,6,505,shrine,61,"
capi"
daad,sanlucasquiavini,6,505,dice,62,"
dad"
gaan,sanlucasquiavini,6,505,gain,63,"
gan"
juug,sanlucasquiavini,6,505,juice,64,"
jug"
raa,sanlucasquiavini,6,505,all,66,"
ra"
rii,sanlucasquiavini,6,505,"be around, be there, be located in (a location) (takes a plural living subject)",65,"
ri"
rraan,sanlucasquiavini,6,505,frog,67,"
rran"
rreloo,sanlucasquiavini,6,505,watch,68,"
rrelo"
zhaar,sanlucasquiavini,6,505,vase,69,"
zhar"
ba’ai,sanlucasquiavini,6,505,rebozo,656,"
bai"
btyùu’ux,sanlucasquiavini,6,505,tomato,626,"
btyux"
bzyààa’,sanlucasquiavini,6,505,beans,625,"
bzya"
ca’lld,sanlucasquiavini,6,505,soup,627,"
cald"
cwe’t,sanlucasquiavini,6,505,firecracker,628,"
cwet"
lahdy,sanlucasquiavini,6,505,"body, clothes",670,"
lady"
liihahz,sanlucasquiavini,6,505,house (e-poss.),672,"
liaz"
limoony,sanlucasquiavini,6,505,lime,632,"
limony"
rcyi’ih,sanlucasquiavini,6,505,"cook on an open fire, grill, roast (something)",635,"
rcyi"
rguèe,sanlucasquiavini,6,505,cuss,640,"
rgue"
rinyloh,sanlucasquiavini,6,505,see,643,"
rinylo"
Jwaany,sanlucasquiavini,7,643,Juan,72,"
Jwany"
nguii,sanlucasquiavini,7,643,sour,78,"
ngui"
nllaag,sanlucasquiavini,7,643,wide,79,"
nlag"
quiizh,sanlucasquiavini,7,643,will pay,75,"
quizh"
rguii,sanlucasquiavini,7,643,get sour,74,"
rgui"
rmuudy,sanlucasquiavini,7,643,medicine,71,"
rmudy"
wzhyaar,sanlucasquiavini,7,643,spoon,76,"
wzhyar"
xmaan,sanlucasquiavini,7,643,week,73,"
xman"
yuug,sanlucasquiavini,7,643,yoke,70,"
yug"
yzhii,sanlucasquiavini,7,643,tomorrow,77,"
yzhi"
cha’t,sanlucasquiavini,7,643,kiss,47,"
chat"
ndyo’oh,sanlucasquiavini,7,643,fat,87,"
ndyo"
pwe’eenn,sanlucasquiavini,7,643,bridge,97,"
pwen"
rraan,sanlucasquiavini,7,643,frog,67,"
rran"
bannùùa’,sanlucasquiavini,7,643,scorpion,178,"
banua "
bihih,sanlucasquiavini,7,643,air,378,"
bi"
chiia,sanlucasquiavini,7,643,will go,175,"
chia"
lahdy,sanlucasquiavini,7,643,"body, clothes",670,"
lady"
liihahz,sanlucasquiavini,7,643,house (e-poss.),672,"
liaz"
lohoh,sanlucasquiavini,7,643,face,379,"
lo"
bca’ah,sanlucasquiavini,8,379,crow,84,"
bca"
gahllgui’ihihzh,sanlucasquiavini,8,379,sickness,89,"
galguizh"
mannsaan,sanlucasquiavini,8,379,apple,81,"
mansan"
mmuuzh,sanlucasquiavini,8,379,blonde,80,"
muzh"
ndyo’oh,sanlucasquiavini,8,379,fat,87,"
ndyo"
x:quiiny,sanlucasquiavini,8,379,corner,82,"
xquiny"
yu’uh,sanlucasquiavini,8,379,house,88,"
yu"
ze’eh,sanlucasquiavini,8,379,corn on the cob,85,"
ze"
zhi’ih,sanlucasquiavini,8,379,nose,86,"
zhi"
zh:ommreel,sanlucasquiavini,8,379,hat,83,"
zhomrel"
chi’iinnzh,sanlucasquiavini,8,379,bedbug,98,"
chinzh"
nguii,sanlucasquiavini,8,379,sour,78,"
ngui"
platii,sanlucasquiavini,8,379,cymbals,58,"
plati"
rreloo,sanlucasquiavini,8,379,watch,68,"
rrelo"
behll,sanlucasquiavini,8,379,fish,180,"
bel"
behlld,sanlucasquiavini,8,379,fish,181,"
beld"
caba’i,sanlucasquiavini,8,379,horse,183,"
cabai"
chòonn,sanlucasquiavini,8,379,three,387,"
chon"
do’ctoor,sanlucasquiavini,8,379,doctor,184,"
doctor"
gài’,sanlucasquiavini,8,379,five,389,"
gai"
ayuda’aann,sanlucasquiavini,9,389,helper,96,"
ayudan"
bu’uhuhdy,sanlucasquiavini,9,389,chicken,90,"
budy"
chi’iinnzh,sanlucasquiavini,9,389,bedbug,98,"
chinzh"
go’oollpy,sanlucasquiavini,9,389,"blow, hit",99,"
golpy"
gyi’izh,sanlucasquiavini,9,389,city person,93,"
gyizh"
lo’oby,sanlucasquiavini,9,389,Lopez,94,"
Loby"
pe’epsy,sanlucasquiavini,9,389,Pepsi,92,"
Pepsy"
pwe’eenn,sanlucasquiavini,9,389,bridge,97,"
pwen"
rna’anny,sanlucasquiavini,9,389,Hernandez,91,"
Rnany"
zh:u’ub,sanlucasquiavini,9,389,corn,95,"
zhub"
ri’cy,sanlucasquiavini,9,389,1. there 2. it (referring to a place),929,"
ricy"
behts,sanlucasquiavini,9,389,brother (of a male),49,"
bets"
gahllgui’ihihzh,sanlucasquiavini,9,389,sickness,89,"
galguizh"
nllaag,sanlucasquiavini,9,389,wide,79,"
nlag"
solisituu,sanlucasquiavini,9,389,application,59,"
solisitu"
zhaar,sanlucasquiavini,9,389,vase,69,"
zhar"
baag,sanlucasquiavini,9,389,cow,495,"
bag"
baar,sanlucasquiavini,9,389,stick,498,"
bar"
gààa’,sanlucasquiavini,9,389,nine,393,"
ga"
gàaz,sanlucasquiavini,9,389,seven,391,"
gaz"
bdòo’,sanlucasquiavini,0,391,baby,103,"
bdo"
bèe’cw,sanlucasquiavini,0,391,dog,101,"
becw"
bèèe’ll,sanlucasquiavini,0,391,snake,108,"
bel"
dìi’zh,sanlucasquiavini,0,391,"language, speech, word",102,"
dizh"
garzììi’,sanlucasquiavini,0,391,guts,109,"
garzi"
mnnààa’,sanlucasquiavini,0,391,woman,107,"
mna"
mnìi’iny,sanlucasquiavini,0,391,child,106,"
mniny"
rcàa’z,sanlucasquiavini,0,391,want,100,"
rcaz"
rdùu’b,sanlucasquiavini,0,391,sweep,104,"
rdub"
rtàa’az,sanlucasquiavini,0,391,"hit, beat up",105,"
rtaz"
gàally ahbgàaz,sanlucasquiavini,0,391,twenty-seven,410,"
galy abgaz"
rnnàa’az,sanlucasquiavini,0,391,grab (something),210,"
rnaz"
ydòòo’,sanlucasquiavini,0,391,church,110,"
ydo"
wgyee’ihzh,sanlucasquiavini,0,391,expensive,3109,"
wgyeizh"
wlihahz,sanlucasquiavini,0,391,daughter-in-law,3108,"
wliaz"
wnyààa’,sanlucasquiavini,0,391,"traditional healer (curandero, curandera)",3107,"
wnya"
Wsee,sanlucasquiavini,0,391,"Jose, Joseph, Joe",3106,"
Wse"
wzahn,sanlucasquiavini,0,391,parent,3105,"
wzan"
wzhih,sanlucasquiavini,0,391,afternoon,3104,"
wzhi"
wzhyehs,sanlucasquiavini,0,391,midwife,3103,"
wzhyes"
bòo,sanlucasquiavini,1,3103,charcoal,115,"
bo"
bùunny,sanlucasquiavini,1,3103,person,116,"
buny"
dàany,sanlucasquiavini,1,3103,mountain,112,"
dany"
gùùu’b,sanlucasquiavini,1,3103,broom,111,"
gub"
mùuully,sanlucasquiavini,1,3103,money,119,"
muly"
nnàaan,sanlucasquiavini,1,3103,1. mother; 2. grandmother,117,"
nan"
rbèez,sanlucasquiavini,1,3103,"1. wait for 2. stop it (stop doing something), stop going 3. sit (formal) 4. live (in a place; formal) 5. is at home (formal)",113,"
rbez"
rchyèeezhy,sanlucasquiavini,1,3103,sneezes,118,"
rchezhy"
rguìiny,sanlucasquiavini,1,3103,hit,114,"
rguiny"
ydòòo’,sanlucasquiavini,1,3103,church,110,"
ydo"
siehnng,sanlucasquiavini,1,3103,hundred (modern word),1139,"
sieng"
wbwààa’n,sanlucasquiavini,1,3103,thief,1182,"
wbwan"
be’euh,sanlucasquiavini,1,3103,turtle,311,"
beu"
gàally ahbxòon,sanlucasquiavini,1,3103,twenty-eight,411,"
galy abxon"
quë’ity,sanlucasquiavini,1,3103,not,511,"
quëity"
rnuhdìi’zh,sanlucasquiavini,1,3103,"question (someone), ask a question of (someone)",211,"
rnudizh"
ruhny x:ga’ab,sanlucasquiavini,1,3103,think,611,"
runy xgab"
tyùa’ ahbtsêë’,sanlucasquiavini,1,3103,fifty,3119,"
tyua abtsë"
(question marker used as the beginning of question; suggests that the hearer will say ’yesR,sanlucasquiavini,1,3103,,3118,"
u"
"u’all, gu’all",sanlucasquiavini,1,3103,(used in plural commands),3117,"
ual, gual"
àaa’,sanlucasquiavini,2,3117,yes,125,"
a "
badiia,sanlucasquiavini,2,3117,roadrunner,128,"
badia"
baahlly,sanlucasquiavini,2,3117,"fire, flame",127,"
baly"
bax:aa’t,sanlucasquiavini,2,3117,toad,126,"
baxat"
beèe’l,sanlucasquiavini,2,3117,meat,121,"
bel"
cuùu’dy,sanlucasquiavini,2,3117,thigh,124,"
cudy"
miìi’zh,sanlucasquiavini,2,3117,Mixe,123,"
Mizh"
x:daadëng,sanlucasquiavini,2,3117,his dice,122,"
xdadëng"
yaàa’,sanlucasquiavini,2,3117,up,120,"
ya"
behll,sanlucasquiavini,2,3117,fish,1290,"
bel"
bra’au,sanlucasquiavini,2,3117,lizard,1291,"
brau"
caba’i ndèe’ èee ?,sanlucasquiavini,2,3117,Is this a horse?,1299,"
Cabai nde e?"
guë’ëhcy,sanlucasquiavini,2,3117,head,1253,"
guëcy"
lohrëng,sanlucasquiavini,2,3117,their faces,1296,"
lorëng"
má’cyëmm,sanlucasquiavini,2,3117,machine,1277,"
macyëm"
ra wii,sanlucasquiavini,2,3117,guavas,1243,"
ra wi"
té’nnihzy,sanlucasquiavini,2,3117,tennis shoes,1278,"
tenizy"
tsëdah,sanlucasquiavini,2,3117,fourteen,1297,"
tsëda"
za’c wxi’ihnny,sanlucasquiavini,2,3117,Good evening!,1298,"
Zac wxiny!"
be’èu’,sanlucasquiavini,2,3117,coyote (animal),312,"
beu"
bèe’cwëng,sanlucasquiavini,3,312,It’s a dog.,132,"
Becwëng."
mbii’sy,sanlucasquiavini,3,312,stingy,136,"
mbisy"
tsêë’,sanlucasquiavini,3,312,ten,131,"
tsë"
tyo’pëhnn,sanlucasquiavini,3,312,"we two, two of us",135,"
tyopën"
xniaa,sanlucasquiavini,3,312,red,137,"
xnia"
bèe’cw ndèe’,sanlucasquiavini,3,312,This is a dog.,1300,"
Becw nde."
ó’nseh,sanlucasquiavini,3,312,eleven (modern word),1331,"
onse"
qui’lly,sanlucasquiavini,3,312,kilo,1334,"
quily"
rèe’,sanlucasquiavini,3,312,"1. this, these 2. here",1395,"
re"
rèenn,sanlucasquiavini,3,312,"that, there",1329,"
ren"
rgùùu’b,sanlucasquiavini,3,312,"1. suck 2. smoke (cigarettes, tobacco, a pipe) 3. use a lot of (fuel) (of a vehicle)",1314,"
rgub"
rguèe’ez,sanlucasquiavini,3,312,1. hug 2. carry (something or someone) in the arms,1315,"
rguez"
rnyi’ihty,sanlucasquiavini,3,312,"miss (something), be missing (something), have lost (something), get lost",1303,"
rnyity"
ruhny casti’u,sanlucasquiavini,3,312,punish,1398,"
runy castiu"
ruhny co’oll,sanlucasquiavini,3,312,stand in line,1399,"
runy col"
tahp,sanlucasquiavini,3,312,four,1328,"
tap"
be’ez,sanlucasquiavini,3,312,type of big jackrabbit,313,"
bez"
rbàa’an,sanlucasquiavini,3,312,follow a medical diet,513,"
rban"
rbèez,sanlucasquiavini,3,312,"1. wait for 2. stop it (stop doing something), stop going 3. sit (formal) 4. live (in a place; formal) 5. is at home (formal)",113,"
rbez"
rtyi’ihs,sanlucasquiavini,3,312,jump,213,"
rtyis"
deree’ch,sanlucasquiavini,4,213,right,143,"
derech"
te’ihby,sanlucasquiavini,4,213,"one; a, an",140,"
teiby"
ú’ taleh,sanlucasquiavini,4,213,wow,146,"
utale"
gueht x:tiilly,sanlucasquiavini,4,213,loaf of bread,1479,"
guet xtily"
ruhny daany,sanlucasquiavini,4,213,"make (someone) sick, damage (something)",1401,"
runy dany"
ruhny defendeer,sanlucasquiavini,4,213,defend,1402,"
runy defender"
ruhny gaan,sanlucasquiavini,4,213,"earn, win",1404,"
runy gan"
ruhny x:tèe’n,sanlucasquiavini,4,213,work as,1406,"
runy xten"
ruhny zèèi’ny,sanlucasquiavini,4,213,"work, does work",1407,"
runy zeiny"
taan,sanlucasquiavini,4,213,Cayetano,1421,"
Tan"
tequi’ly,sanlucasquiavini,4,213,tequila,1440,"
tequily"
bèèe’z,sanlucasquiavini,4,213,mountain lion,314,"
bez"
rguìiny,sanlucasquiavini,4,213,hit,114,"
rguiny"
rzh:ùu’nny,sanlucasquiavini,4,213,"1. run 2. elope (especially, of a young woman) 3. flee, run away from (a place)",214,"
rzhuny"
tyo’p gaiyùùa’,sanlucasquiavini,4,213,two hundred,414,"
tyop gaiyua"
tèe’wahg tu,sanlucasquiavini,4,213,1. no one (followed by a verb plus -di) 2. no (followed by a noun),3149,"
tewag tu"
tèe’wahg xi,sanlucasquiavini,4,213,no (followed by a noun plus -di),3148,"
tewag xi"
no problem,sanlucasquiavini,4,213,,3147,"
tewag xi problemdi"
Tijwa’nn,sanlucasquiavini,4,213,Tijuana,3146,"
Tijwan"
ti’uwe’eh,sanlucasquiavini,4,213,"sir, señor (respectful term of address used to a man)",3145,"
tiuwe"
amiiegw,sanlucasquiavini,5,3145,friend,1582,"
amiegw"
banguual,sanlucasquiavini,5,3145,old person,1577,"
bangual"
rgueh,sanlucasquiavini,5,3145,"carry, haul (something heavy or more than one item)",1537,"
rgue"
rguìi’ch,sanlucasquiavini,5,3145,break (a long object),1538,"
rguich"
rihstìi,sanlucasquiavini,5,3145,get up (out of bed),1539,"
risti"
rsìii’lly,sanlucasquiavini,5,3145,morning,1579,"
rsily"
rtòo’oh,sanlucasquiavini,5,3145,sell,1540,"
rto"
rtyu’uh,sanlucasquiavini,5,3145,pick (fruit),1541,"
rtyu"
ruhny ca’s,sanlucasquiavini,5,3145,pay attention to,1508,"
runy cas"
saguuall,sanlucasquiavini,5,3145,"consuegro, sibling’s spouse’s blood relative, parent’s sibling’s spouse’s blood relative",1578,"
sagual"
treeiny,sanlucasquiavini,5,3145,train,1583,"
treiny"
xtiaazh,sanlucasquiavini,5,3145,garlic,1581,"
xtiazh"
bòo,sanlucasquiavini,5,3145,charcoal,115,"
bo"
rcwèez,sanlucasquiavini,5,3145,turn off (an appliance),515,"
rcwez"
sedee,sanlucasquiavini,5,3145,C.D.,215,"
sede"
Taguuall,sanlucasquiavini,5,3145,"Day of the Dead (All Saints Day, November 1, and All Souls Day, November 2)",3159,"
Tagual"
tahp gàally,sanlucasquiavini,5,3145,eighty,3158,"
tap galy"
ta’s,sanlucasquiavini,5,3145,cup,3157,"
tas"
te’bloh,sanlucasquiavini,5,3145,"equal, even, the same",3156,"
teblo"
te’bloh-ihzy,sanlucasquiavini,5,3145,just the same,3155,"
tebloizy"
rcyi’-a’,sanlucasquiavini,6,3155,I cook,167,"
rcyia"
rcyi’-ih,sanlucasquiavini,6,3155,he cooks,168,"
rcyii"
rcyi’-iùu’,sanlucasquiavini,6,3155,you cook,169,"
rcyiu"
biied,sanlucasquiavini,6,3155,aunt,1690,"
bied"
bziloh,sanlucasquiavini,6,3155,eye,1691,"
bzilo"
bzyaàa’n,sanlucasquiavini,6,3155,"sibling of the opposite sex; brother (of a female), sister (of a male)",1692,"
bzyan"
fo’c,sanlucasquiavini,6,3155,light bulb,1665,"
foc"
la’a-ëng ,sanlucasquiavini,6,3155,he,1623,"
laëng "
nde’nn,sanlucasquiavini,6,3155,this one,1639,"
nden"
rbèe’b,sanlucasquiavini,6,3155,"1. get into a position (on a flat, elevated surface), be (habitually) in a position (on a flat, elevated surface) 2. ride (an animal)",1615,"
rbeb"
rdaa’ah,sanlucasquiavini,6,3155,break (a round or compact object),1672,"
rda"
rèenn,sanlucasquiavini,6,3155,"that, there",1641,"
ren"
rèenn,sanlucasquiavini,6,3155,"that, there",1642,"
ren"
ruhny gaan,sanlucasquiavini,6,3155,earns,1650,"
runy gan"
ruhny ua’s,sanlucasquiavini,6,3155,use,1652,"
runy uas"
wchiilly,sanlucasquiavini,6,3155,knife,1662,"
wchily"
x:tèe’n,sanlucasquiavini,6,3155,1. of 2. (used in possessed noun phrases) 3. (possession),1620,"
xten"
bsihah,sanlucasquiavini,6,3155,eagle,316,"
bsia"
bùunny,sanlucasquiavini,6,3155,person,116,"
buny"
rcwùa’ll,sanlucasquiavini,6,3155,"turn on (a radio, stereo, etc.)",516,"
rcwual"
bannùùa’,sanlucasquiavini,7,516,scorpion,178,"
banua "
chiia,sanlucasquiavini,7,516,will go,175,"
chia"
rbahb,sanlucasquiavini,7,516,gets itchy,173,"
rbab"
rcha’-a’,sanlucasquiavini,7,516,I warm,170,"
rchaa"
rcha’-ih,sanlucasquiavini,7,516,he warms,171,"
rchai"
rcho’-òo’,sanlucasquiavini,7,516,you warm,172,"
rchoo"
re’ihpy,sanlucasquiavini,7,516,"1. tell, ask (someone other than the speaker or hearer) 2. tell, ask (someone other than the speakker or hearer) to 3. calls (someone other than the speaker or hearer) (a name)",176,"
reipy"
riahb,sanlucasquiavini,7,516,fall,177,"
riab"
rie’nyëhnn,sanlucasquiavini,7,516,we do,174,"
rienyën"
caneel,sanlucasquiavini,7,516,cinnamon,1735,"
canel"
jí’quëmm,sanlucasquiavini,7,516,jicama,1764,"
jiquëm"
làa’any,sanlucasquiavini,7,516,stomach,1701,"
lany"
loh nyààa’,sanlucasquiavini,7,516,field (e-poss.),1702,"
lo nya"
loh zhihah,sanlucasquiavini,7,516,field,1703,"
lo zhia"
mae’str,sanlucasquiavini,7,516,master bricklayer,1760,"
maestr"
nnaàa’,sanlucasquiavini,7,516,hand,1704,"
na "
ni’ih,sanlucasquiavini,7,516,foot,1706,"
ni"
niloh,sanlucasquiavini,7,516,jealous,1734,"
nilo"
Pá’mmyëll,sanlucasquiavini,7,516,Panfilo,1707,"
Pamyël"
pyeeiny,sanlucasquiavini,7,516,altar (in a home),1758,"
pyeiny"
behll,sanlucasquiavini,8,1758,fish,180,"
bel"
behlld,sanlucasquiavini,8,1758,fish,181,"
beld"
caba’i,sanlucasquiavini,8,1758,horse,183,"
cabai"
do’ctoor,sanlucasquiavini,8,1758,doctor,184,"
doctor"
gyahg,sanlucasquiavini,8,1758,"stick, wood, tree, firewood",186,"
gyag"
Gye’eihlly,sanlucasquiavini,8,1758,Miguel,187,"
Gyeily "
lecsyoony ,sanlucasquiavini,8,1758,lesson,188,"
lecsyony "
Lia Leen,sanlucasquiavini,8,1758,Elena,189,"
Lia Len"
bchiilly,sanlucasquiavini,8,1758,knife,1835,"
bchily"
bèe’ll,sanlucasquiavini,8,1758,sister (of a female),1862,"
bel"
blàaal,sanlucasquiavini,8,1758,blal,1837,"
blal"
chìel,sanlucasquiavini,8,1758,spouse,1868,"
chiel"
computadoor,sanlucasquiavini,8,1758,computer,1807,"
computador"
da’ad,sanlucasquiavini,8,1758,father,1869,"
dad"
dehts,sanlucasquiavini,8,1758,back,1870,"
dets"
dura’azn,sanlucasquiavini,8,1758,peach,1838,"
durazn"
dyahg,sanlucasquiavini,8,1758,ear,1871,"
dyag"
Dyooz,sanlucasquiavini,8,1758,God,1808,"
Dyoz"
edifii’sy,sanlucasquiavini,8,1758,building,1809,"
edifisy"
gahxlyuh,sanlucasquiavini,8,1758,world,1810,"
gaxlyu"
li’ebr,sanlucasquiavini,9,1810,book,190,"
liebr"
ma’anyseer,sanlucasquiavini,9,1810,bee,191,"
manyser"
me’s,sanlucasquiavini,9,1810,teacher,192,"
mes"
nnyi’ihs,sanlucasquiavini,9,1810,water,196,"
nyis"
plu’mm,sanlucasquiavini,9,1810,pen,197,"
plum"
ra dìi’zh,sanlucasquiavini,9,1810,"words, vocabulary",198,"
ra dizh"
ra’ta’ ra dìi’zh ,sanlucasquiavini,9,1810,all the words,199,"
rata ra dizh "
bèen,sanlucasquiavini,9,1810,"dregs, grounds (of liquid)",1947,"
ben"
btsëh,sanlucasquiavini,9,1810,tuna,1984,"
btsë"
bua’rr,sanlucasquiavini,9,1810,donkey,1978,"
buarr"
byìiú,sanlucasquiavini,9,1810,flea,1979,"
byiu"
byo’ol,sanlucasquiavini,9,1810,century plant flower,1950,"
byol"
casoon,sanlucasquiavini,9,1810,pants,1904,"
cason "
chi’iinnzh,sanlucasquiavini,9,1810,bedbug,1980,"
chinzh "
cuahnn,sanlucasquiavini,9,1810,and; with,1946,"
cuan"
fá’sihlly,sanlucasquiavini,9,1810,easy,1992,"
fasily"
guèu’,sanlucasquiavini,9,1810,river,1905,"
gueu"
lia,sanlucasquiavini,9,1810,"girl’s title, Miss, Señorita",1955,"
Lia"
